Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:15:13,35.4,19.0,1.4124,17.7,96.1,1009.7,20.3,0.1,37.5,38.1
2011-01-21T08:25:14,20.7,19.0,0.5367,17.8,96.1,1009.9,20.3,0.1,22.1,22.4
2011-01-21T08:35:13,29.7,19.0,1.1455,17.8,96.0,1009.9,20.6,0.1,29.4,29.6
2011-01-21T09:10:14,30.6,18.9,1.1990,17.7,95.8,1010.2,21.1,0.1,35.2,35.7
2011-01-21T09:15:13,50.8,19.6,3.0448,17.7,95.7,1010.3,21.1,0.3,56.8,58.2
2011-01-21T09:20:14,34.7,19.7,1.5315,17.8,95.8,1010.4,21.1,0.3,36.4,37.5
2011-01-21T09:25:13,37.9,19.6,1.7778,17.8,95.8,1010.4,21.1,0.3,40.3,41.4
2011-01-21T09:30:13,46.0,19.2,2.4941,17.7,93.9,1010.4,21.1,0.1,47.7,48.7
2011-01-21T09:35:13,50.7,19.4,3.0254,17.8,93.8,1010.4,21.1,0.1,58.0,59.6
2011-01-21T09:40:13,43.1,19.1,2.2601,17.8,91.6,1010.3,21.1,-0.0,51.1,52.5
2011-01-21T09:45:13,54.0,18.8,3.4846,17.8,87.0,1010.3,21.1,-0.1,60.7,62.2
2011-01-21T09:50:13,41.4,18.9,2.1930,17.8,89.7,1010.2,21.1,0.0,46.5,47.7
2011-01-21T10:00:13,59.4,18.1,4.0360,17.5,92.4,1011.0,23.7,-0.1,68.6,69.2
2011-01-21T10:05:13,60.3,18.6,4.0708,17.3,93.5,1011.0,24.1,0.1,71.3,71.9
2011-01-21T10:10:13,98.6,18.7,9.0780,17.2,89.3,1010.7,24.6,0.2,106.8,107.5
2011-01-21T10:15:13,95.9,18.9,8.3631,17.1,90.1,1010.5,24.7,0.2,107.9,109.1
2011-01-21T10:20:13,96.2,19.6,8.0328,17.1,92.0,1010.5,24.7,0.3,107.3,108.8
2011-01-21T10:25:13,129.2,20.4,12.6310,17.2,91.6,1010.5,24.7,0.6,131.3,133.5
2011-01-21T10:30:13,168.4,20.8,18.0487,17.3,91.5,1010.3,24.7,0.7,169.0,171.9
2011-01-21T10:35:13,187.7,20.8,21.1736,17.4,91.3,1010.2,24.7,0.6,180.2,183.3
2011-01-21T10:40:13,187.6,20.7,21.0125,17.4,90.7,1010.2,24.7,0.7,181.4,184.0
2011-01-21T10:45:13,155.6,21.3,15.4956,17.4,89.8,1010.2,24.7,0.6,166.0,168.0
2011-01-21T10:55:13,266.2,23.3,33.5729,17.5,89.6,1010.0,24.7,1.0,256.9,256.8
2011-01-21T11:00:13,203.4,25.4,22.7000,17.7,88.3,1009.8,24.7,1.1,204.0,203.7
2011-01-21T11:05:13,240.5,26.6,28.6866,17.8,89.4,1009.8,24.7,1.3,240.3,240.0
2011-01-21T11:10:13,232.9,27.3,27.5659,17.9,88.0,1009.8,24.7,1.4,244.3,244.0
2011-01-21T11:15:14,205.6,27.2,23.5223,18.0,87.3,1009.8,24.7,1.0,217.4,217.1
2011-01-21T11:20:13,274.6,28.1,34.3036,18.0,87.1,1009.8,24.7,1.2,299.0,298.8
2011-01-21T11:25:13,133.1,27.9,12.3019,18.1,88.0,1009.8,24.7,1.1,149.8,149.6
2011-01-21T11:30:13,223.6,26.8,25.9105,18.1,85.1,1009.6,24.7,1.0,237.7,237.3
2011-01-21T11:35:13,253.5,28.4,30.2057,18.2,87.0,1009.5,24.7,1.5,275.5,275.2
2011-01-21T11:40:13,257.2,28.5,31.5930,18.3,86.7,1009.4,24.7,1.8,260.4,260.7
2011-01-21T11:45:13,180.2,28.1,19.9703,18.4,83.1,1009.4,24.7,1.5,184.1,184.1
2011-01-21T11:50:13,228.0,26.9,28.2861,18.5,85.9,1009.3,24.8,1.3,233.2,233.6
2011-01-21T11:55:13,237.1,25.8,30.1511,18.6,85.9,1009.3,24.8,1.0,246.4,247.6
2011-01-21T12:00:14,172.6,24.7,19.5581,18.6,87.8,1009.2,24.8,0.6,186.5,187.6
2011-01-21T12:05:13,164.5,24.6,18.1914,18.6,84.7,1009.1,24.8,0.6,182.2,182.9
2011-01-21T12:10:13,219.7,23.8,27.4025,18.5,85.4,1009.1,24.8,0.7,233.9,235.0
2011-01-21T12:15:13,262.8,23.7,35.5048,18.5,85.2,1008.9,24.8,0.8,253.9,255.5
2011-01-21T12:20:13,293.6,24.3,40.0871,18.4,87.0,1008.8,24.8,0.6,308.8,310.3
2011-01-21T12:25:13,300.0,24.7,39.5037,18.4,83.2,1008.6,24.8,0.9,316.4,317.8
2011-01-21T12:30:13,244.9,24.2,30.3257,18.4,83.7,1008.6,24.8,0.6,268.5,270.0
2011-01-21T12:35:13,277.1,23.8,34.6599,18.3,81.8,1008.5,24.8,0.7,261.0,262.6
2011-01-21T12:45:13,460.8,31.5,65.1099,18.7,79.8,1008.2,24.8,6.9,423.1,422.3
2011-01-21T12:50:13,312.7,32.3,39.6243,18.9,79.3,1008.2,24.8,4.1,296.4,296.2
2011-01-21T12:55:13,440.4,34.7,59.2655,19.0,78.5,1008.1,24.8,3.6,445.3,445.6
2011-01-21T13:00:13,279.5,33.9,35.1709,19.3,80.2,1008.1,24.8,2.5,270.6,271.2
2011-01-21T13:05:13,152.2,30.8,14.9136,19.1,78.5,1008.0,24.8,1.4,181.0,181.0
2011-01-21T13:10:13,73.5,27.3,4.7120,19.1,77.6,1007.9,24.8,0.7,75.6,75.6
2011-01-21T13:15:13,123.2,25.3,11.0451,18.9,76.5,1007.7,24.8,0.6,123.0,123.1
2011-01-21T13:20:13,165.4,25.0,17.4612,18.7,78.6,1007.5,24.8,0.9,140.5,141.4
2011-01-21T13:25:13,247.4,25.4,30.5317,18.7,81.6,1007.4,24.8,1.1,245.5,245.9
2011-01-21T13:30:13,185.2,24.8,20.4149,18.8,80.4,1007.4,24.8,1.0,183.8,184.0
2011-01-21T13:35:13,188.0,25.4,21.5877,18.7,83.1,1007.4,24.8,1.0,196.8,196.9
2011-01-21T13:40:13,121.1,23.3,11.4554,18.4,86.3,1007.4,24.8,0.7,125.2,125.2
2011-01-21T13:45:13,108.8,22.5,9.6666,18.1,88.5,1007.4,24.8,0.5,112.3,112.4
2011-01-21T13:50:13,83.5,21.4,6.5302,17.9,89.1,1007.5,24.8,0.4,93.9,93.9
2011-01-21T13:55:13,54.8,20.5,3.3077,17.7,88.8,1007.6,24.8,0.4,60.2,60.2
2011-01-21T14:00:13,50.6,19.4,2.8510,17.0,89.9,1007.7,24.8,0.3,54.6,54.6
2011-01-21T14:05:13,52.9,19.1,3.0959,16.8,90.8,1007.8,24.8,0.2,57.2,57.1
2011-01-21T14:10:13,39.3,18.9,1.8205,16.7,91.1,1007.7,24.8,0.2,42.4,42.4
2011-01-21T14:15:13,70.0,18.7,5.1161,16.7,90.8,1007.5,24.8,0.2,74.2,74.4
2011-01-21T14:20:13,52.4,18.6,3.1453,16.7,91.5,1007.5,24.8,-0.1,55.5,55.9
2011-01-21T14:25:13,56.1,18.3,3.5699,16.5,91.9,1007.4,24.8,-0.2,58.8,59.2
2011-01-21T14:30:13,65.2,18.2,4.6192,16.5,92.7,1007.3,24.8,-0.1,68.4,69.2
2011-01-21T14:35:13,39.4,17.9,1.9275,16.4,92.5,1007.3,24.8,-0.1,40.3,40.8
2011-01-21T14:40:13,67.4,17.9,4.8343,16.3,92.2,1007.1,24.8,-0.1,72.4,73.4
2011-01-21T14:45:13,55.2,17.8,3.3735,16.2,92.3,1007.1,24.8,-0.0,59.8,60.6
2011-01-21T14:50:13,47.7,17.8,2.6406,16.1,92.1,1007.1,24.8,-0.0,50.9,51.4
2011-01-21T14:55:13,54.3,17.5,3.3090,16.0,92.1,1007.1,24.8,-0.1,58.1,58.8
2011-01-21T15:00:13,53.8,17.7,3.0790,16.0,92.3,1007.1,24.8,-0.1,57.6,58.3
2011-01-21T15:05:14,43.0,17.5,2.0536,16.0,92.5,1007.1,24.8,-0.1,44.5,45.0
2011-01-21T15:10:13,62.5,17.8,4.1194,15.9,91.9,1006.9,24.8,0.0,68.5,69.2
2011-01-21T15:15:14,68.2,18.1,4.8040,15.9,92.5,1007.0,24.8,-0.0,72.7,73.5
2011-01-21T15:20:13,38.3,18.0,1.7348,16.0,91.4,1007.2,24.8,-0.1,40.1,40.3
