Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:15:10,35.2,19.0,1.7856,17.7,96.0,1009.7,20.3,0.2,37.2,37.9
2011-01-21T08:25:10,20.8,19.1,0.8886,17.8,96.1,1009.9,20.3,0.1,22.3,22.6
2011-01-21T08:35:10,29.7,19.1,1.5412,17.8,96.0,1009.9,20.6,0.1,29.5,29.7
2011-01-21T09:10:10,30.2,18.9,1.5544,17.7,95.8,1010.2,21.1,0.1,34.7,35.1
2011-01-21T09:15:10,51.2,19.4,3.1530,17.7,95.8,1010.3,21.1,0.3,57.7,59.0
2011-01-21T09:20:10,34.8,19.6,1.9050,17.8,95.8,1010.4,21.1,0.3,36.6,37.6
2011-01-21T09:25:10,37.9,19.6,2.1017,17.8,95.7,1010.4,21.1,0.3,40.3,41.4
2011-01-21T09:30:10,45.7,19.3,2.6590,17.7,93.9,1010.4,21.1,0.1,47.2,48.2
2011-01-21T09:35:10,51.2,19.5,3.1271,17.8,93.8,1010.4,21.1,0.1,58.8,60.4
2011-01-21T09:40:10,42.8,19.2,2.4794,17.8,91.8,1010.3,21.1,-0.0,50.7,52.0
2011-01-21T09:45:10,54.0,18.9,3.4390,17.8,86.9,1010.3,21.1,-0.1,60.9,62.4
2011-01-21T09:50:10,41.5,19.1,2.4926,17.8,89.9,1010.2,21.1,0.0,46.9,48.0
2011-01-21T09:55:10,20.2,18.8,0.9202,17.7,88.1,1010.5,21.1,0.1,24.0,24.5
2011-01-21T10:00:10,59.2,18.2,3.9087,17.5,92.4,1011.0,23.7,-0.1,67.9,68.4
2011-01-21T10:05:10,59.9,18.6,3.8444,17.3,93.6,1010.9,24.1,0.1,70.6,71.2
2011-01-21T10:10:10,98.6,18.8,7.0202,17.2,89.1,1010.7,24.6,0.2,106.6,107.4
2011-01-21T10:15:10,96.0,19.2,6.5627,17.1,90.0,1010.5,24.7,0.2,108.2,109.4
2011-01-21T10:20:10,95.6,19.7,6.2623,17.1,92.0,1010.5,24.7,0.3,107.0,108.4
2011-01-21T10:25:10,129.7,20.3,8.9561,17.2,91.6,1010.5,24.7,0.5,131.7,133.9
2011-01-21T10:30:10,168.0,21.0,11.7596,17.3,91.4,1010.3,24.7,0.7,168.2,171.1
2011-01-21T10:35:10,186.8,21.4,13.2779,17.4,91.3,1010.2,24.7,0.6,179.2,182.2
2011-01-21T10:40:10,186.3,21.8,13.1473,17.4,90.7,1010.2,24.7,0.7,179.8,182.3
2011-01-21T10:45:10,155.6,22.4,10.4620,17.4,89.9,1010.2,24.7,0.6,166.0,168.0
2011-01-21T10:55:10,262.5,23.8,19.4720,17.5,89.6,1010.0,24.7,1.0,251.6,251.4
2011-01-21T11:00:10,203.2,25.4,14.2034,17.7,88.5,1009.8,24.7,1.1,204.0,203.8
2011-01-21T11:05:10,241.0,26.4,17.2724,17.8,89.3,1009.8,24.7,1.5,240.4,240.0
2011-01-21T11:10:10,234.1,27.1,16.7719,17.9,88.1,1009.8,24.7,1.3,244.4,244.3
2011-01-21T11:15:10,204.6,27.1,14.5212,18.0,87.2,1009.8,24.7,1.0,215.9,215.6
2011-01-21T11:20:10,274.3,27.5,20.0005,18.0,87.3,1009.8,24.7,1.2,298.0,297.8
2011-01-21T11:25:10,133.8,27.8,8.7125,18.1,88.0,1009.8,24.7,1.1,151.0,150.8
2011-01-21T11:30:10,220.9,26.9,15.5693,18.1,84.9,1009.6,24.7,1.0,234.1,233.7
2011-01-21T11:35:10,254.6,28.4,18.0477,18.2,86.8,1009.5,24.7,1.6,276.7,276.3
2011-01-21T11:40:10,258.1,28.5,18.6809,18.3,87.4,1009.4,24.7,1.9,261.6,261.8
2011-01-21T11:45:10,180.4,28.2,12.6891,18.4,83.2,1009.4,24.7,1.5,184.4,184.3
2011-01-21T11:50:10,226.9,27.4,16.6981,18.5,85.5,1009.3,24.8,1.3,231.7,232.1
2011-01-21T11:55:10,237.7,26.4,17.7702,18.6,86.1,1009.3,24.8,1.0,246.9,248.1
2011-01-21T12:00:10,173.2,25.4,12.5046,18.6,88.1,1009.2,24.8,0.6,186.8,187.9
2011-01-21T12:05:10,165.6,24.8,11.8911,18.6,84.3,1009.1,24.8,0.6,184.1,184.8
2011-01-21T12:10:10,218.4,24.0,16.3713,18.5,85.8,1009.1,24.8,0.7,232.7,233.8
2011-01-21T12:15:10,259.4,24.1,20.0557,18.5,85.0,1008.9,24.8,0.7,249.0,250.7
2011-01-21T12:20:10,292.2,24.6,22.6109,18.4,86.7,1008.8,24.8,0.6,305.3,306.9
2011-01-21T12:25:10,301.8,24.9,22.6482,18.4,83.0,1008.6,24.8,1.1,318.0,319.4
2011-01-21T12:30:10,245.0,24.4,17.9288,18.4,83.5,1008.6,24.8,0.6,267.9,269.4
2011-01-21T12:35:10,272.0,24.4,19.7056,18.3,81.7,1008.5,24.8,0.7,256.9,258.4
2011-01-21T12:40:10,601.4,28.5,46.5826,18.4,81.4,1008.3,24.8,53.4,527.1,495.3
2011-01-21T12:45:10,458.5,31.2,34.8537,18.7,81.1,1008.2,24.8,7.2,419.2,418.7
2011-01-21T12:50:10,314.8,32.1,22.8317,18.9,79.5,1008.1,24.8,3.7,297.8,298.0
2011-01-21T12:55:10,448.0,34.6,32.7445,19.0,78.9,1008.1,24.8,4.3,453.3,453.0
2011-01-21T13:00:10,279.0,34.3,20.2312,19.3,80.0,1008.1,24.8,2.4,270.6,271.3
2011-01-21T13:05:10,154.8,31.5,10.1989,19.1,78.8,1008.0,24.8,1.4,184.7,184.7
2011-01-21T13:10:10,73.9,28.3,4.1739,19.1,77.7,1007.9,24.8,0.7,76.4,76.5
2011-01-21T13:15:10,123.2,26.2,7.9055,18.9,76.2,1007.7,24.8,0.6,124.1,124.2
2011-01-21T13:20:10,164.3,25.4,11.2120,18.7,78.3,1007.6,24.8,0.9,140.3,141.1
2011-01-21T13:25:10,248.2,25.5,17.9787,18.7,81.3,1007.4,24.8,1.1,246.8,247.2
2011-01-21T13:30:10,181.7,24.7,12.6116,18.8,80.8,1007.3,24.8,1.0,180.6,180.8
2011-01-21T13:35:10,190.4,25.3,13.6682,18.7,82.4,1007.4,24.8,1.0,200.6,200.6
2011-01-21T13:40:10,120.5,23.4,8.1365,18.4,85.9,1007.4,24.8,0.7,124.2,124.3
2011-01-21T13:45:10,108.5,22.6,7.1593,18.1,88.7,1007.4,24.8,0.5,112.8,112.8
2011-01-21T13:50:10,83.7,21.6,5.3662,17.9,89.1,1007.5,24.8,0.4,94.3,94.3
2011-01-21T13:55:10,55.5,20.6,3.3016,17.7,88.8,1007.6,24.8,0.4,61.2,61.2
2011-01-21T14:00:10,50.3,19.5,2.9204,17.0,89.8,1007.7,24.8,0.3,54.1,54.1
2011-01-21T14:05:10,53.3,19.2,3.1588,16.8,90.7,1007.8,24.8,0.2,57.9,57.8
2011-01-21T14:10:10,39.1,18.9,2.1104,16.7,91.1,1007.7,24.8,0.2,42.1,42.1
2011-01-21T14:15:10,69.3,18.8,4.4378,16.7,90.8,1007.5,24.8,0.2,73.1,73.4
2011-01-21T14:20:10,52.7,18.6,3.1514,16.7,91.7,1007.5,24.8,-0.1,55.8,56.2
2011-01-21T14:25:10,56.9,18.4,3.5220,16.5,92.0,1007.4,24.8,-0.1,59.9,60.4
2011-01-21T14:30:10,65.3,18.2,4.1819,16.5,92.7,1007.3,24.8,-0.1,68.6,69.3
2011-01-21T14:35:10,39.0,17.9,2.1720,16.4,92.5,1007.3,24.8,-0.1,40.0,40.5
2011-01-21T14:40:10,67.2,17.9,4.2802,16.3,92.3,1007.1,24.8,-0.1,72.2,73.3
2011-01-21T14:45:10,55.1,17.8,3.2877,16.2,92.3,1007.1,24.8,-0.0,59.7,60.5
2011-01-21T14:50:10,48.0,17.8,2.8045,16.1,92.1,1007.1,24.8,-0.0,51.3,51.9
2011-01-21T14:55:10,53.9,17.6,3.2274,16.1,92.1,1007.1,24.8,-0.1,57.4,58.1
2011-01-21T15:00:10,54.2,17.7,3.1183,16.0,92.2,1007.1,24.8,-0.1,58.3,59.0
2011-01-21T15:05:10,42.8,17.5,2.2882,16.0,92.5,1007.0,24.8,-0.1,44.3,44.8
2011-01-21T15:10:10,62.6,17.6,3.8520,15.9,92.0,1006.9,24.8,0.0,68.6,69.3
2011-01-21T15:15:10,68.2,17.7,4.3177,15.9,92.7,1007.1,24.8,-0.1,72.2,73.0
2011-01-21T15:20:10,37.9,17.6,2.0254,16.0,91.4,1007.2,24.8,-0.1,39.5,39.7
2011-01-21T15:25:10,39.9,17.5,2.1588,16.0,90.8,1007.2,24.8,-0.0,43.1,43.5
