Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:10:24,20.1,19.3,0.8756,17.7,96.0,1009.8,20.3,0.1,21.9,22.2
2011-01-21T08:15:24,35.7,19.5,1.8826,17.7,96.0,1009.7,20.3,0.1,38.0,38.7
2011-01-21T08:20:24,20.2,19.6,0.8724,17.8,96.0,1009.9,20.3,0.2,20.1,20.3
2011-01-21T08:25:24,20.6,19.6,0.9020,17.8,96.1,1009.9,20.3,0.1,21.6,22.0
2011-01-21T08:35:24,29.5,19.6,1.5654,17.8,96.0,1009.9,20.6,0.1,29.3,29.5
2011-01-21T09:10:24,32.3,19.4,1.7864,17.7,95.8,1010.2,21.1,0.1,36.5,36.9
2011-01-21T09:15:24,49.2,20.0,3.0649,17.7,95.7,1010.3,21.1,0.3,55.0,56.4
2011-01-21T09:20:24,34.3,20.2,1.9361,17.8,95.8,1010.4,21.1,0.3,36.2,37.2
2011-01-21T09:25:24,38.3,20.2,2.2060,17.8,95.7,1010.4,21.1,0.2,40.5,41.6
2011-01-21T09:30:24,46.6,20.0,2.7775,17.8,94.0,1010.4,21.1,0.1,48.7,49.7
2011-01-21T09:35:24,49.3,20.2,3.0502,17.8,93.8,1010.4,21.1,0.1,56.5,58.1
2011-01-21T09:40:24,44.1,20.0,2.6551,17.8,91.4,1010.4,21.1,-0.0,52.0,53.4
2011-01-21T09:45:24,53.7,19.9,3.5060,17.8,87.6,1010.3,21.1,-0.1,60.2,61.8
2011-01-21T09:50:24,40.7,20.1,2.5537,17.8,88.9,1010.2,21.1,0.0,45.9,47.0
2011-01-21T10:00:24,60.0,18.9,4.2622,17.5,92.4,1010.9,23.8,-0.1,69.6,70.3
2011-01-21T10:05:24,61.4,19.3,4.2026,17.3,92.9,1010.9,24.1,0.1,72.8,73.4
2011-01-21T10:10:24,98.6,19.5,7.2142,17.2,89.5,1010.7,24.7,0.2,107.0,107.8
2011-01-21T10:15:24,95.5,20.0,6.7132,17.1,90.1,1010.5,24.7,0.2,107.4,108.5
2011-01-21T10:20:24,97.8,20.5,6.6104,17.1,91.9,1010.5,24.7,0.3,108.2,109.8
2011-01-21T10:25:24,128.1,21.3,8.9339,17.2,91.6,1010.5,24.7,0.6,130.4,132.5
2011-01-21T10:30:24,169.5,21.7,11.8006,17.3,91.7,1010.3,24.7,0.7,170.5,173.4
2011-01-21T10:35:24,190.1,22.3,13.2768,17.4,91.3,1010.2,24.7,0.6,182.4,185.4
2011-01-21T10:40:24,191.7,23.1,13.2405,17.3,90.6,1010.2,24.7,0.7,184.9,187.5
2011-01-21T10:45:24,156.1,24.0,10.4155,17.4,89.8,1010.2,24.7,0.6,166.4,168.4
2011-01-21T10:55:24,276.8,24.9,19.5083,17.5,89.1,1010.0,24.7,1.1,267.3,267.2
2011-01-21T11:00:24,203.6,25.9,13.8715,17.7,88.3,1009.8,24.7,1.2,204.2,203.8
2011-01-21T11:05:24,239.5,26.9,16.4611,17.8,89.1,1009.8,24.7,1.2,240.3,240.1
2011-01-21T11:10:24,227.7,27.4,15.6296,17.9,88.0,1009.8,24.7,1.3,241.1,240.7
2011-01-21T11:15:24,208.4,27.5,14.4113,18.0,87.5,1009.8,24.7,1.0,220.8,220.5
2011-01-21T11:20:24,274.2,28.2,19.0769,18.0,87.4,1009.8,24.7,1.2,299.3,299.0
2011-01-21T11:25:24,131.2,28.4,8.6006,18.1,86.8,1009.8,24.7,1.1,147.8,147.6
2011-01-21T11:30:24,232.5,27.4,16.0301,18.1,85.9,1009.6,24.7,1.0,245.3,244.9
2011-01-21T11:35:24,250.0,28.8,17.1300,18.2,86.7,1009.5,24.7,1.5,272.9,272.6
2011-01-21T11:40:24,254.5,29.2,17.8273,18.3,85.3,1009.4,24.7,1.9,258.1,258.2
2011-01-21T11:45:24,180.2,29.1,12.5774,18.4,83.1,1009.4,24.7,1.5,183.7,183.7
2011-01-21T11:50:24,231.3,27.8,16.6050,18.5,86.0,1009.3,24.8,1.3,236.3,236.6
2011-01-21T11:55:24,235.0,26.9,16.9657,18.6,86.1,1009.3,24.8,1.0,245.1,246.2
2011-01-21T12:00:24,171.5,25.7,12.1774,18.6,88.1,1009.2,24.8,0.6,186.1,187.2
2011-01-21T12:05:24,161.7,25.2,11.4323,18.6,84.8,1009.1,24.8,0.6,178.9,179.6
2011-01-21T12:10:24,223.2,24.7,16.1888,18.5,85.3,1009.1,24.8,0.7,236.5,237.7
2011-01-21T12:15:24,272.6,24.5,20.0658,18.5,85.7,1008.8,24.8,0.8,263.3,264.9
2011-01-21T12:20:24,294.4,24.9,21.2909,18.4,87.0,1008.8,24.8,0.7,312.2,313.6
2011-01-21T12:25:24,293.9,25.1,20.7807,18.4,84.0,1008.6,24.8,0.8,312.0,313.5
2011-01-21T12:30:24,243.7,24.9,17.1214,18.4,83.9,1008.6,24.8,0.6,268.5,269.9
2011-01-21T12:40:24,568.7,29.0,39.4966,18.4,81.4,1008.3,24.8,32.2,505.4,488.3
2011-01-21T12:45:24,464.7,31.8,32.5777,18.7,79.5,1008.2,24.8,10.0,431.9,428.8
2011-01-21T12:50:24,306.9,32.7,21.2655,18.9,78.1,1008.2,24.8,3.5,291.8,291.5
2011-01-21T12:55:24,419.5,34.4,28.6156,19.0,78.4,1008.1,24.8,2.9,425.7,426.6
2011-01-21T13:00:24,281.4,34.4,19.7299,19.3,80.1,1008.0,24.8,2.5,271.4,272.1
2011-01-21T13:05:24,144.9,32.0,9.5593,19.1,78.9,1008.0,24.8,1.3,173.7,173.7
2011-01-21T13:10:24,72.7,28.8,4.3677,19.1,77.7,1007.9,24.8,0.7,74.3,74.3
2011-01-21T13:15:24,124.1,26.7,8.1387,18.9,77.2,1007.7,24.8,0.6,120.8,121.0
2011-01-21T13:20:24,169.3,26.0,11.5712,18.7,78.4,1007.6,24.8,0.9,141.9,142.8
2011-01-21T13:25:24,245.8,26.3,17.0609,18.7,81.5,1007.4,24.8,1.1,243.3,243.6
2011-01-21T13:30:24,197.0,25.6,13.5648,18.8,80.6,1007.4,24.8,1.0,192.2,192.4
2011-01-21T13:35:24,181.2,26.1,12.6205,18.7,83.1,1007.4,24.8,1.1,189.1,189.1
2011-01-21T13:40:24,122.2,24.5,8.3040,18.4,86.0,1007.4,24.8,0.7,126.4,126.4
2011-01-21T13:45:24,110.2,23.6,7.4105,18.1,88.6,1007.4,24.8,0.6,112.9,113.0
2011-01-21T13:50:24,82.6,22.5,5.3925,17.9,89.1,1007.5,24.8,0.4,93.2,93.3
2011-01-21T13:55:24,53.4,21.5,3.3199,17.7,88.9,1007.6,24.8,0.4,58.6,58.6
2011-01-21T14:00:24,51.4,20.4,3.1982,17.0,89.8,1007.7,24.8,0.2,55.5,55.5
2011-01-21T14:05:24,51.6,19.9,3.2181,16.8,91.0,1007.8,24.8,0.2,55.9,55.9
2011-01-21T14:10:24,39.9,19.5,2.3302,16.7,91.1,1007.7,24.8,0.2,43.0,43.0
2011-01-21T14:15:24,72.0,19.4,4.8009,16.7,90.4,1007.5,24.8,0.2,76.3,76.6
2011-01-21T14:20:24,51.7,19.0,3.2203,16.6,91.4,1007.5,24.8,-0.1,55.1,55.5
2011-01-21T14:25:24,53.9,18.7,3.4316,16.5,91.8,1007.4,24.8,-0.1,56.6,57.0
2011-01-21T14:30:24,65.1,18.6,4.3115,16.5,92.6,1007.3,24.8,-0.1,68.2,68.9
2011-01-21T14:35:24,40.5,18.2,2.4022,16.4,92.6,1007.3,24.8,-0.1,41.2,41.8
2011-01-21T14:40:24,68.3,18.3,4.4831,16.3,92.1,1007.2,24.8,-0.1,72.9,73.9
2011-01-21T14:45:24,55.7,18.2,3.4351,16.2,92.3,1007.1,24.8,-0.0,60.0,60.8
2011-01-21T14:50:24,46.1,18.2,2.7645,16.1,92.0,1007.2,24.8,-0.0,49.7,50.2
2011-01-21T14:55:24,55.6,18.1,3.4212,16.1,92.1,1007.1,24.8,-0.0,59.3,60.1
2011-01-21T15:00:24,52.5,18.2,3.1017,16.0,92.5,1007.1,24.8,-0.1,56.3,56.9
2011-01-21T15:05:24,43.6,18.2,2.4506,16.0,92.4,1007.0,24.8,-0.1,45.2,45.7
2011-01-21T15:10:24,62.5,18.3,3.8714,15.9,91.8,1006.9,24.8,-0.0,68.3,69.1
2011-01-21T15:15:24,68.0,18.4,4.3510,15.9,92.2,1007.1,24.8,-0.1,72.9,73.6
2011-01-21T15:20:24,39.7,18.3,2.2565,16.0,91.5,1007.2,24.8,-0.1,41.4,41.7
2011-01-21T15:25:24,41.0,18.2,2.3058,16.0,90.9,1007.2,24.8,-0.0,44.6,44.9
2011-01-21T15:30:24,25.0,18.0,1.1508,15.9,91.0,1007.2,24.8,-0.1,27.0,27.1
2011-01-21T15:35:24,33.8,17.6,1.7808,15.5,92.2,1007.4,24.8,-0.0,35.6,35.8
2011-01-21T15:40:24,32.5,17.5,1.6823,15.3,92.8,1007.5,24.8,-0.0,33.5,33.6
2011-01-21T15:45:24,37.2,17.5,2.0514,15.3,92.6,1007.4,24.8,0.0,39.2,39.4
2011-01-21T15:50:24,29.5,17.4,1.4801,15.2,92.0,1007.5,24.8,0.0,32.0,32.2
2011-01-21T15:55:24,46.1,17.4,2.6897,15.2,91.6,1007.6,24.8,0.0,47.1,47.2
2011-01-21T16:00:24,50.8,17.5,2.9386,15.1,91.4,1007.5,24.8,0.1,56.9,57.1
2011-01-21T16:05:24,50.4,17.6,2.9899,15.2,91.2,1007.4,24.8,0.2,54.3,54.4
2011-01-21T16:10:24,49.1,17.6,2.8518,15.2,90.9,1007.3,24.9,0.0,55.1,55.2
2011-01-21T16:15:24,34.9,17.1,1.8575,15.1,91.5,1007.4,24.9,-0.2,36.9,37.1
2011-01-21T16:20:24,27.5,16.9,1.3838,15.1,91.0,1007.3,24.9,-0.2,30.3,30.5
2011-01-21T16:25:24,39.6,16.9,2.1435,15.1,91.2,1007.4,24.9,-0.1,42.0,42.3
2011-01-21T16:30:24,47.8,17.1,2.6754,15.1,91.3,1007.3,24.9,-0.1,54.4,54.9
2011-01-21T16:35:24,38.1,17.2,1.9817,15.2,91.0,1007.4,24.9,-0.1,46.9,47.3
2011-01-21T16:45:24,23.3,17.0,1.0143,15.2,91.0,1007.4,24.9,-0.1,25.8,26.0
2011-01-21T16:50:24,22.0,17.0,0.9252,15.2,91.3,1007.4,24.9,-0.1,24.3,24.4
2011-01-22T07:50:24,32.7,11.7,1.5515,-9999,-9999,-9999,-9999,-9999,-9999,-9999
