Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:15:15,35.5,19.7,6.9664,17.7,96.1,1009.7,20.3,0.1,37.5,38.1
2011-01-21T08:25:15,20.7,19.7,3.9356,17.8,96.1,1009.9,20.3,0.1,22.1,22.4
2011-01-21T08:35:15,29.7,19.7,6.0540,17.8,96.0,1009.9,20.6,0.1,29.4,29.6
2011-01-21T09:10:15,30.8,19.6,6.3302,17.7,95.8,1010.2,21.1,0.1,35.2,35.7
2011-01-21T09:15:15,50.5,20.1,10.9322,17.7,95.7,1010.3,21.1,0.3,56.8,58.2
2011-01-21T09:20:15,34.6,20.1,7.2617,17.8,95.8,1010.4,21.1,0.3,36.4,37.5
2011-01-21T09:25:15,37.9,20.1,7.9751,17.8,95.8,1010.4,21.1,0.3,40.3,41.4
2011-01-21T09:30:15,46.1,19.8,9.8078,17.7,93.9,1010.4,21.1,0.1,47.7,48.7
2011-01-21T09:35:15,50.5,20.0,10.9232,17.8,93.8,1010.4,21.1,0.1,58.0,59.6
2011-01-21T09:40:15,43.3,19.9,9.2673,17.8,91.6,1010.3,21.1,-0.0,51.1,52.5
2011-01-21T09:45:15,54.0,19.6,11.9541,17.8,87.0,1010.3,21.1,-0.1,60.7,62.2
2011-01-21T09:50:15,41.3,19.7,8.9747,17.8,89.7,1010.2,21.1,0.0,46.5,47.7
2011-01-21T09:55:15,20.0,19.3,3.9220,17.8,88.1,1010.5,21.1,0.1,24.0,24.5
2011-01-21T10:00:15,59.5,18.8,12.9332,17.5,92.4,1011.0,23.7,-0.1,68.6,69.2
2011-01-21T10:05:15,60.4,19.2,13.0547,17.3,93.5,1011.0,24.1,0.1,71.3,71.9
2011-01-21T10:10:15,98.5,19.4,21.9644,17.2,89.3,1010.7,24.6,0.2,106.8,107.5
2011-01-21T10:15:15,95.9,19.8,20.8124,17.1,90.1,1010.5,24.7,0.2,107.9,109.1
2011-01-21T10:20:15,96.5,20.1,20.4360,17.1,92.0,1010.5,24.7,0.3,107.3,108.8
2011-01-21T10:25:15,129.0,20.7,27.5751,17.2,91.6,1010.5,24.7,0.6,131.3,133.5
