Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:10:26,20.2,19.3,1.9610,17.7,96.0,1009.8,20.3,0.1,21.9,22.2
2011-01-21T08:15:26,35.8,19.5,3.7242,17.8,96.0,1009.7,20.3,0.1,38.4,39.0
2011-01-21T08:20:26,20.2,19.5,1.9551,17.8,96.0,1009.9,20.3,0.1,20.1,20.3
2011-01-21T08:25:26,20.6,19.5,2.0057,17.8,96.1,1009.8,20.3,0.1,21.4,21.8
2011-01-21T08:35:26,29.5,19.5,3.1397,17.8,96.0,1009.9,20.6,0.1,29.3,29.5
2011-01-21T09:10:26,32.6,19.4,3.5718,17.7,95.8,1010.2,21.1,0.1,37.2,37.6
2011-01-21T09:15:25,49.0,19.9,5.5997,17.7,95.7,1010.3,21.1,0.3,55.0,56.4
2011-01-21T09:20:26,34.3,20.0,3.7919,17.8,95.8,1010.4,21.1,0.3,36.0,37.1
2011-01-21T09:25:25,38.3,19.9,4.2715,17.8,95.7,1010.4,21.1,0.2,40.5,41.6
2011-01-21T09:30:25,46.6,19.6,5.2312,17.8,94.0,1010.4,21.1,0.1,48.7,49.7
2011-01-21T09:35:26,49.0,19.8,5.6078,17.8,93.8,1010.4,21.1,0.1,55.9,57.4
2011-01-21T09:40:26,44.2,19.4,5.0353,17.8,91.3,1010.3,21.1,-0.1,52.5,53.9
2011-01-21T09:45:26,53.8,19.1,6.3890,17.8,87.6,1010.3,21.1,-0.1,60.0,61.5
2011-01-21T09:50:26,40.6,19.4,4.8129,17.8,88.8,1010.2,21.1,0.0,45.5,46.7
2011-01-21T10:00:26,60.1,18.6,7.4230,17.5,92.3,1010.9,23.8,-0.1,70.1,70.6
2011-01-21T10:05:25,61.6,18.9,7.4001,17.3,92.9,1010.9,24.1,0.1,72.8,73.4
2011-01-21T10:10:25,98.6,19.1,12.1907,17.2,89.5,1010.7,24.7,0.2,107.0,107.8
2011-01-21T10:15:25,95.4,19.4,11.4410,17.1,90.1,1010.5,24.7,0.2,107.4,108.5
2011-01-21T10:20:26,98.2,20.0,11.3933,17.1,91.9,1010.5,24.7,0.3,108.7,110.3
2011-01-21T10:25:26,128.0,20.8,15.0156,17.2,91.6,1010.5,24.7,0.6,130.0,132.0
2011-01-21T10:30:25,169.7,21.2,19.8677,17.3,91.7,1010.3,24.7,0.7,170.5,173.4
2011-01-21T10:35:25,190.5,21.3,22.4767,17.4,91.3,1010.2,24.7,0.6,182.4,185.4
2011-01-21T10:40:26,192.4,21.4,22.5626,17.3,90.7,1010.2,24.7,0.7,186.9,189.5
2011-01-21T10:45:26,156.3,21.6,17.8856,17.4,89.9,1010.1,24.7,0.6,166.8,168.8
2011-01-21T10:55:25,278.7,23.1,32.8587,17.5,89.1,1010.0,24.7,1.1,267.3,267.2
2011-01-21T11:00:25,203.6,24.3,23.4174,17.7,88.3,1009.8,24.7,1.2,204.2,203.8
2011-01-21T11:05:25,239.3,25.2,27.5661,17.8,89.1,1009.8,24.7,1.2,240.3,240.1
2011-01-21T11:10:25,226.8,26.0,26.0142,17.9,88.0,1009.8,24.7,1.3,241.1,240.7
2011-01-21T11:15:26,209.0,26.0,24.2459,18.0,87.5,1009.8,24.7,1.0,222.7,222.4
2011-01-21T11:20:25,274.0,26.8,31.8474,18.0,87.4,1009.8,24.7,1.2,299.3,299.0
2011-01-21T11:25:26,130.9,26.8,14.6491,18.1,86.7,1009.7,24.7,1.0,146.9,146.7
2011-01-21T11:30:26,234.0,26.4,27.0638,18.1,86.2,1009.6,24.7,1.0,249.4,249.0
2011-01-21T11:35:26,249.5,27.8,28.6204,18.2,86.6,1009.5,24.7,1.5,271.4,271.2
2011-01-21T11:40:26,254.1,28.0,29.7006,18.3,85.1,1009.4,24.7,2.2,257.0,256.8
2011-01-21T11:45:25,180.3,27.6,21.1091,18.4,83.1,1009.4,24.7,1.5,183.7,183.7
2011-01-21T11:50:25,231.8,26.6,27.7031,18.5,86.0,1009.3,24.8,1.3,236.3,236.6
2011-01-21T11:55:25,234.6,25.7,28.2395,18.6,86.1,1009.3,24.8,1.0,245.1,246.2
