Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:15:19,35.6,19.4,1.2563,17.7,96.1,1009.7,20.3,0.2,37.7,38.4
2011-01-21T08:25:19,20.6,19.5,0.6624,17.8,96.1,1009.9,20.3,0.1,21.8,22.2
2011-01-21T08:35:19,29.6,19.5,1.0741,17.8,96.0,1009.9,20.6,0.1,29.4,29.5
2011-01-21T09:10:19,31.3,19.3,1.1833,17.7,95.8,1010.2,21.1,0.1,35.8,36.3
2011-01-21T09:15:19,50.0,19.9,2.0072,17.7,95.7,1010.3,21.1,0.3,55.9,57.3
2011-01-21T09:20:19,34.5,20.0,1.3185,17.8,95.8,1010.4,21.1,0.3,36.3,37.4
2011-01-21T09:25:19,38.2,20.0,1.4662,17.8,95.7,1010.4,21.1,0.3,40.4,41.5
2011-01-21T09:30:19,46.2,19.7,1.7931,17.8,94.0,1010.4,21.1,0.1,48.2,49.2
2011-01-21T09:35:19,50.0,19.9,1.9976,17.8,93.8,1010.4,21.1,0.1,57.3,58.9
2011-01-21T09:40:19,43.6,19.7,1.7262,17.8,91.4,1010.3,21.1,-0.0,51.6,52.9
2011-01-21T09:45:19,53.9,19.5,2.2645,17.8,87.3,1010.3,21.1,-0.1,60.4,62.0
2011-01-21T09:50:19,41.0,19.5,1.7323,17.8,89.4,1010.2,21.1,0.0,46.2,47.4
2011-01-21T10:00:19,59.7,18.8,2.7261,17.5,92.4,1010.9,23.7,-0.1,69.2,69.8
2011-01-21T10:05:19,60.9,19.1,2.6476,17.3,93.2,1010.9,24.1,0.1,72.0,72.6
2011-01-21T10:10:19,98.5,19.2,4.4332,17.2,89.5,1010.7,24.7,0.2,106.9,107.7
2011-01-21T10:15:19,95.8,19.6,4.1509,17.1,90.1,1010.5,24.7,0.2,107.7,108.8
