Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:15:06,35.1,19.0,2.4444,17.7,96.0,1009.7,20.3,0.2,37.2,37.9
2011-01-21T08:25:06,21.0,19.0,1.3810,17.8,96.1,1009.9,20.3,0.1,22.3,22.6
2011-01-21T08:35:06,29.8,19.1,2.1752,17.8,96.0,1009.9,20.6,0.1,29.5,29.7
2011-01-21T09:10:06,29.7,18.9,2.1936,17.7,95.8,1010.2,21.1,0.1,34.7,35.1
2011-01-21T09:15:06,51.8,19.7,4.0484,17.7,95.8,1010.3,21.1,0.3,57.7,59.0
2011-01-21T09:20:06,34.9,19.7,2.6413,17.8,95.8,1010.4,21.1,0.3,36.6,37.6
2011-01-21T09:25:06,37.8,19.6,2.8489,17.8,95.7,1010.4,21.1,0.3,40.3,41.4
2011-01-21T09:30:06,45.5,19.3,3.4550,17.7,93.9,1010.4,21.1,0.1,47.2,48.2
2011-01-21T09:35:06,51.6,19.6,4.0404,17.8,93.8,1010.4,21.1,0.1,58.8,60.4
2011-01-21T09:40:06,42.5,19.2,3.2964,17.8,91.8,1010.3,21.1,-0.0,50.7,52.0
2011-01-21T09:45:06,54.0,18.9,4.4097,17.8,86.9,1010.3,21.1,-0.1,60.9,62.4
2011-01-21T09:50:06,41.7,19.2,3.4213,17.8,89.9,1010.2,21.1,0.0,46.9,48.0
2011-01-21T09:55:06,20.2,18.6,1.5764,17.7,88.1,1010.5,21.1,0.1,24.0,24.5
2011-01-21T10:00:06,58.7,18.1,5.0004,17.5,92.4,1011.0,23.7,-0.1,67.9,68.4
2011-01-21T10:05:06,59.5,18.7,4.8877,17.3,93.6,1010.9,24.1,0.1,70.6,71.2
2011-01-21T10:10:06,98.6,18.9,8.2128,17.2,89.1,1010.7,24.6,0.2,106.6,107.4
2011-01-21T10:15:06,96.1,19.2,7.7624,17.1,90.0,1010.5,24.7,0.2,108.2,109.4
2011-01-21T10:20:06,95.2,20.1,7.3514,17.1,92.0,1010.5,24.7,0.3,107.0,108.4
2011-01-21T10:25:06,130.1,20.9,10.1619,17.2,91.6,1010.5,24.7,0.5,131.7,133.9
2011-01-21T10:30:06,167.4,21.4,12.9196,17.3,91.4,1010.3,24.7,0.7,168.2,171.1
2011-01-21T10:35:06,185.7,21.4,14.3920,17.4,91.3,1010.2,24.7,0.6,179.2,182.2
2011-01-21T10:40:06,185.2,21.5,14.2909,17.4,90.7,1010.2,24.7,0.7,179.8,182.3
2011-01-21T10:45:06,155.6,21.4,11.7934,17.4,89.9,1010.2,24.7,0.6,166.0,168.0
2011-01-21T10:55:06,258.7,22.0,20.1475,17.5,89.6,1010.0,24.7,1.0,251.6,251.4
2011-01-21T11:00:06,202.9,23.2,15.4560,17.7,88.5,1009.8,24.7,1.1,204.0,203.8
2011-01-21T11:05:06,241.6,24.0,18.4265,17.8,89.3,1009.8,24.7,1.5,240.4,240.0
2011-01-21T11:10:06,234.7,25.0,17.9327,17.9,88.1,1009.8,24.7,1.3,244.4,244.3
2011-01-21T11:15:06,203.7,25.2,15.7203,18.0,87.2,1009.8,24.7,1.0,215.9,215.6
2011-01-21T11:20:06,273.8,26.1,21.0533,18.0,87.3,1009.8,24.7,1.2,298.0,297.8
2011-01-21T11:25:06,134.5,25.8,10.0831,18.1,88.0,1009.8,24.7,1.1,151.0,150.8
2011-01-21T11:30:06,218.2,24.7,16.6626,18.1,84.9,1009.6,24.7,1.0,234.1,233.7
2011-01-21T11:35:06,255.7,27.0,19.3882,18.2,86.8,1009.5,24.7,1.6,276.7,276.3
2011-01-21T11:40:06,259.0,27.3,19.9317,18.3,87.4,1009.4,24.7,1.9,261.6,261.8
2011-01-21T11:45:06,180.4,26.6,14.0237,18.4,83.2,1009.4,24.7,1.5,184.4,184.3
2011-01-21T11:50:06,225.8,25.9,17.7826,18.5,85.5,1009.3,24.8,1.3,231.7,232.1
2011-01-21T11:55:06,238.1,25.8,18.8626,18.6,86.1,1009.3,24.8,1.0,246.9,248.1
2011-01-21T12:00:06,173.5,24.0,13.8271,18.6,88.1,1009.2,24.8,0.6,186.8,187.9
2011-01-21T12:05:06,166.7,23.7,13.2364,18.6,84.3,1009.1,24.8,0.6,184.1,184.8
2011-01-21T12:10:06,217.4,23.6,17.3578,18.5,85.8,1009.1,24.8,0.7,232.7,233.8
2011-01-21T12:15:06,255.9,24.0,20.5790,18.5,85.0,1008.9,24.8,0.7,249.0,250.7
2011-01-21T12:20:06,290.3,24.8,23.0339,18.4,86.7,1008.8,24.8,0.6,305.3,306.9
2011-01-21T12:25:06,303.5,24.8,23.6747,18.4,83.0,1008.6,24.8,1.1,318.0,319.4
2011-01-21T12:30:06,245.0,24.0,19.0845,18.4,83.5,1008.6,24.8,0.6,267.9,269.4
