Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:15:01,34.9,19.0,1.1265,17.7,96.0,1009.7,20.3,0.1,37.0,37.6
2011-01-21T08:20:01,19.9,19.1,0.5768,17.8,96.0,1009.9,20.3,0.1,20.2,20.5
2011-01-21T08:25:01,21.1,19.1,0.6138,17.8,96.1,1009.9,20.3,0.1,22.5,22.8
2011-01-21T08:35:01,29.9,19.1,0.9851,17.8,96.0,1009.9,20.6,0.1,29.6,29.8
2011-01-21T09:10:01,29.1,18.9,0.9536,17.7,95.8,1010.2,21.1,0.1,34.2,34.6
2011-01-21T09:15:01,52.6,19.5,1.9636,17.7,95.8,1010.2,21.1,0.3,58.5,59.9
2011-01-21T09:20:01,35.1,19.6,1.2167,17.8,95.8,1010.4,21.1,0.3,36.7,37.8
2011-01-21T09:25:01,37.7,19.5,1.3095,17.8,95.7,1010.4,21.1,0.2,40.2,41.3
2011-01-21T09:30:01,45.0,19.2,1.6158,17.8,93.9,1010.4,21.1,0.1,46.7,47.6
2011-01-21T09:35:01,52.5,19.4,1.9606,17.8,93.9,1010.4,21.1,0.1,59.5,61.2
2011-01-21T09:40:01,42.0,19.0,1.5100,17.8,92.0,1010.3,21.1,-0.0,50.3,51.6
2011-01-21T09:45:01,54.3,18.8,2.0871,17.8,86.7,1010.3,21.1,-0.1,61.1,62.6
2011-01-21T09:50:01,41.9,18.9,1.5566,17.9,90.0,1010.2,21.1,0.0,47.2,48.3
2011-01-21T09:55:01,20.3,18.7,0.6315,17.8,88.2,1010.5,21.1,0.1,24.0,24.6
2011-01-21T10:00:01,58.1,18.2,2.2647,17.6,92.4,1011.0,23.7,-0.1,66.8,67.5
2011-01-21T10:05:01,58.9,18.7,2.2480,17.3,93.6,1011.0,24.1,0.1,69.8,70.5
2011-01-21T10:10:01,98.4,18.7,4.0760,17.2,89.1,1010.7,24.6,0.2,106.3,107.1
2011-01-21T10:15:01,96.4,18.9,3.8702,17.1,89.8,1010.5,24.7,0.2,108.4,109.7
2011-01-21T10:20:01,94.6,19.4,3.6632,17.1,92.0,1010.5,24.7,0.2,106.7,108.1
2011-01-21T10:25:01,130.6,20.0,5.2701,17.2,91.8,1010.5,24.7,0.5,132.0,134.2
2011-01-21T10:30:01,166.6,20.8,6.7800,17.3,91.3,1010.3,24.7,0.7,167.3,170.1
2011-01-21T10:35:01,184.2,21.2,7.5985,17.4,91.5,1010.2,24.7,0.6,178.1,181.1
2011-01-21T10:40:01,183.3,21.4,7.5273,17.4,90.8,1010.2,24.7,0.7,178.3,180.9
2011-01-21T10:45:01,155.9,21.5,6.1726,17.4,90.0,1010.1,24.7,0.6,166.3,168.3
2011-01-21T10:55:01,253.2,22.3,10.7874,17.5,89.5,1010.0,24.7,1.0,245.8,245.3
2011-01-21T11:00:01,202.5,24.1,8.2229,17.7,89.0,1009.9,24.7,1.1,204.3,204.1
2011-01-21T11:05:01,242.7,25.1,10.0419,17.8,89.5,1009.8,24.7,1.7,240.3,239.9
2011-01-21T11:10:01,234.5,25.7,9.7375,17.9,87.6,1009.8,24.7,1.3,244.0,243.9
2011-01-21T11:15:01,202.5,25.7,8.3230,18.0,87.2,1009.8,24.7,1.0,214.5,214.2
2011-01-21T11:20:01,272.3,26.1,11.4491,18.0,87.5,1009.8,24.7,1.2,296.5,296.3
2011-01-21T11:25:01,135.8,26.3,5.2220,18.1,87.9,1009.8,24.7,1.1,152.3,152.1
2011-01-21T11:30:01,214.2,25.6,8.7142,18.1,85.1,1009.6,24.7,0.9,230.7,230.2
2011-01-21T11:35:01,257.2,26.9,10.5649,18.2,86.5,1009.5,24.7,1.5,277.5,277.3
2011-01-21T11:40:01,260.2,27.2,10.8729,18.3,88.3,1009.4,24.7,2.0,262.5,262.7
2011-01-21T11:45:01,180.6,26.6,7.4024,18.4,83.4,1009.4,24.7,1.5,184.8,184.6
2011-01-21T11:50:01,224.3,25.9,9.5320,18.5,85.2,1009.3,24.8,1.3,230.2,230.6
2011-01-21T11:55:01,238.7,24.9,10.3340,18.6,85.8,1009.3,24.8,1.1,247.3,248.6
2011-01-21T12:00:01,174.3,23.6,7.3917,18.6,88.0,1009.2,24.8,0.6,187.1,188.2
2011-01-21T12:05:01,168.5,23.0,7.1150,18.6,84.0,1009.1,24.8,0.6,186.1,186.8
2011-01-21T12:10:01,215.6,22.7,9.3686,18.5,85.8,1009.1,24.8,0.7,231.6,232.7
2011-01-21T12:15:01,250.8,22.9,11.1847,18.5,84.8,1008.9,24.8,0.7,244.3,245.9
2011-01-21T12:20:01,286.9,23.4,12.8465,18.5,86.9,1008.8,24.8,0.6,301.0,302.7
2011-01-21T12:25:01,305.4,23.3,13.3306,18.4,83.3,1008.6,24.8,1.4,319.2,320.2
2011-01-21T12:30:01,244.6,23.0,10.4594,18.3,83.3,1008.6,24.8,0.6,267.0,268.5
