Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:15:05,35.1,19.0,2.1674,17.7,96.0,1009.7,20.3,0.1,37.0,37.6
2011-01-21T08:25:05,21.0,19.0,1.1815,17.8,96.1,1009.9,20.3,0.1,22.5,22.8
2011-01-21T08:35:04,29.9,19.1,1.8936,17.8,96.0,1009.9,20.6,0.1,29.6,29.8
2011-01-21T09:10:05,29.5,18.9,1.8719,17.7,95.8,1010.2,21.1,0.1,34.2,34.6
2011-01-21T09:15:04,52.1,19.5,3.6956,17.7,95.8,1010.2,21.1,0.3,58.5,59.9
2011-01-21T09:20:05,34.9,19.6,2.3287,17.8,95.8,1010.4,21.1,0.3,36.7,37.8
2011-01-21T09:25:05,37.8,19.5,2.5247,17.8,95.7,1010.4,21.1,0.2,40.2,41.3
2011-01-21T09:30:04,45.3,19.2,3.1116,17.8,93.9,1010.4,21.1,0.1,46.7,47.6
2011-01-21T09:35:05,51.8,19.4,3.6995,17.8,93.9,1010.4,21.1,0.1,59.5,61.2
2011-01-21T09:40:05,42.3,19.1,2.9217,17.8,92.0,1010.3,21.1,-0.0,50.3,51.6
2011-01-21T09:45:05,54.1,18.8,3.9755,17.8,86.7,1010.3,21.1,-0.1,61.1,62.6
2011-01-21T09:50:05,41.7,19.0,2.9727,17.9,90.0,1010.2,21.1,0.0,47.2,48.3
2011-01-21T09:55:05,20.2,18.7,1.2256,17.8,88.2,1010.5,21.1,0.1,24.0,24.6
2011-01-21T10:00:05,58.5,18.1,4.3325,17.6,92.4,1011.0,23.7,-0.1,66.8,67.5
2011-01-21T10:05:05,59.3,18.6,4.3063,17.3,93.6,1011.0,24.1,0.1,69.8,70.5
2011-01-21T10:10:05,98.6,18.8,7.6179,17.2,89.1,1010.7,24.6,0.2,106.3,107.1
2011-01-21T10:15:05,96.2,19.0,7.2259,17.1,89.8,1010.5,24.7,0.2,108.4,109.7
