Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2011-01-21T08:15:12,35.3,18.9,2.5091,17.7,96.1,1009.7,20.3,0.1,37.5,38.1
2011-01-21T08:25:12,20.8,19.0,1.3724,17.8,96.1,1009.9,20.3,0.1,22.1,22.4
2011-01-21T08:35:12,29.7,19.0,2.1675,17.8,96.0,1009.9,20.6,0.1,29.4,29.6
2011-01-21T09:10:12,30.4,18.8,2.2344,17.7,95.8,1010.2,21.1,0.1,35.2,35.7
2011-01-21T09:15:12,51.0,19.4,4.0801,17.7,95.7,1010.3,21.1,0.3,56.8,58.2
2011-01-21T09:20:12,34.8,19.5,2.6400,17.8,95.8,1010.4,21.1,0.3,36.4,37.5
2011-01-21T09:25:12,37.9,19.4,2.8972,17.8,95.8,1010.4,21.1,0.3,40.3,41.4
2011-01-21T09:30:12,45.9,19.2,3.5733,17.7,93.9,1010.4,21.1,0.1,47.7,48.7
2011-01-21T09:35:12,50.9,19.4,4.0790,17.8,93.8,1010.4,21.1,0.1,58.0,59.6
2011-01-21T09:40:12,43.0,19.1,3.3686,17.8,91.6,1010.3,21.1,-0.0,51.1,52.5
2011-01-21T09:45:12,54.0,18.9,4.4506,17.8,87.0,1010.3,21.1,-0.1,60.7,62.2
2011-01-21T09:50:12,41.5,19.0,3.3311,17.8,89.7,1010.2,21.1,0.0,46.5,47.7
2011-01-21T09:55:12,20.1,18.7,1.4094,17.8,88.1,1010.5,21.1,0.1,24.0,24.5
2011-01-21T10:00:12,59.2,18.1,4.8942,17.5,92.4,1011.0,23.7,-0.1,68.6,69.2
2011-01-21T10:05:12,60.2,18.6,4.8883,17.3,93.5,1011.0,24.1,0.1,71.3,71.9
2011-01-21T10:10:12,98.6,18.7,8.4124,17.2,89.3,1010.7,24.6,0.2,106.8,107.5
2011-01-21T10:15:12,95.9,19.0,7.9605,17.1,90.1,1010.5,24.7,0.2,107.9,109.1
2011-01-21T10:20:12,95.9,19.6,7.7184,17.1,92.0,1010.5,24.7,0.3,107.3,108.8
2011-01-21T10:25:12,129.4,20.3,10.6095,17.2,91.6,1010.5,24.7,0.6,131.3,133.5
2011-01-21T10:30:12,168.2,20.8,13.7398,17.3,91.5,1010.3,24.7,0.7,169.0,171.9
2011-01-21T10:35:12,187.2,21.1,15.3961,17.4,91.3,1010.2,24.7,0.6,180.2,183.3
2011-01-21T10:40:12,186.9,21.3,15.3232,17.4,90.7,1010.2,24.7,0.7,181.4,184.0
