Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-12-21T09:00:11,22.4,6.0,0.7598,5.3,86.7,989.5,1.1,-0.1,27.6,27.8
2012-12-21T09:05:11,25.1,5.7,0.9431,5.0,87.6,988.9,1.1,-0.2,28.6,28.8
2012-12-21T09:10:11,38.3,5.7,1.9202,4.7,89.5,988.9,1.1,-0.1,44.0,44.3
2012-12-21T09:15:11,46.9,5.6,2.6806,4.7,89.2,989.0,1.1,-0.1,53.0,53.5
2012-12-21T09:20:11,57.3,5.8,3.7262,4.7,89.0,989.4,1.1,0.0,62.1,62.7
2012-12-21T09:25:11,58.2,6.1,3.6837,4.9,87.9,989.6,1.1,0.0,64.3,64.9
2012-12-21T09:30:11,72.7,6.5,5.3075,5.1,87.6,989.6,1.1,0.1,74.5,75.3
2012-12-21T09:35:11,70.5,6.7,4.8441,5.2,87.0,989.7,1.1,0.1,72.4,73.0
2012-12-21T09:40:11,64.0,6.8,4.0860,5.3,86.7,989.7,1.1,0.1,63.2,63.8
2012-12-21T09:45:11,65.7,7.0,4.3751,5.4,85.4,989.7,1.1,6.2,53.0,52.6
2012-12-21T09:50:11,121.9,8.2,12.0157,5.6,85.6,989.7,1.1,25.2,85.4,80.6
2012-12-21T09:55:11,116.1,9.0,11.0498,5.8,84.2,989.6,1.1,7.0,89.3,88.9
2012-12-21T10:00:11,201.1,10.2,24.3272,5.9,84.2,989.6,1.1,65.3,135.8,119.7
2012-12-21T10:05:11,248.3,11.9,33.0964,6.1,83.8,989.6,1.1,79.3,148.8,111.9
2012-12-21T10:10:11,127.5,13.1,12.4411,6.2,84.9,989.7,1.1,0.6,127.1,128.0
2012-12-21T10:15:11,141.4,11.6,15.0423,5.8,85.6,989.7,1.1,1.0,130.3,131.7
2012-12-21T10:20:11,185.4,11.4,21.7440,5.9,86.2,989.6,1.1,24.2,146.1,139.3
2012-12-21T10:25:11,116.4,10.6,10.6927,5.6,86.3,989.6,1.1,0.1,109.0,110.0
2012-12-21T10:30:11,101.0,9.7,8.6410,5.8,86.0,989.6,1.1,3.4,90.1,90.1
2012-12-21T10:35:11,152.6,9.6,16.8185,5.9,85.5,989.6,1.1,1.5,141.7,142.7
2012-12-21T10:40:11,173.9,10.8,20.2505,6.1,85.9,989.7,1.1,12.5,161.3,158.6
2012-12-21T10:45:11,154.3,11.3,17.1473,6.3,83.8,989.6,1.1,2.6,143.7,144.4
2012-12-21T10:50:11,127.0,11.7,12.7006,6.5,82.9,989.6,1.1,1.2,133.0,133.9
2012-12-21T10:55:11,108.5,11.1,10.1246,6.5,82.7,989.6,1.1,0.4,115.2,116.2
2012-12-21T11:00:11,100.9,10.7,9.0288,6.7,83.3,989.6,1.1,0.3,118.2,119.1
2012-12-21T11:05:11,86.4,10.3,7.1890,6.6,82.8,989.5,1.1,0.2,99.7,100.3
2012-12-21T11:10:11,94.8,10.1,8.3086,6.3,84.1,989.4,1.1,0.2,112.8,113.5
2012-12-21T11:15:11,56.6,8.9,3.6640,6.1,84.6,989.3,1.1,0.0,69.0,69.4
2012-12-21T11:20:11,73.3,8.6,5.8680,6.0,85.5,989.3,1.1,-0.0,83.0,83.5
2012-12-21T11:25:11,69.0,8.2,5.3436,5.9,86.2,989.2,1.2,0.0,76.4,77.0
2012-12-21T11:30:11,111.3,8.4,11.3672,5.9,87.1,989.0,1.2,0.2,124.4,125.3
2012-12-21T11:35:11,115.3,8.8,11.7565,5.9,86.9,988.9,1.2,0.2,129.5,130.3
2012-12-21T11:40:11,154.8,9.3,18.1227,6.0,87.3,988.7,1.2,0.4,177.0,176.4
2012-12-21T11:45:11,166.5,9.4,20.0711,5.8,85.6,988.5,1.2,0.5,187.5,184.8
2012-12-21T11:50:11,138.3,9.7,14.7193,6.0,85.9,988.4,1.2,1.4,141.1,103.8
2012-12-21T11:55:11,126.0,9.8,12.6958,6.1,86.5,988.2,1.2,0.3,116.7,91.4
2012-12-21T12:00:11,129.6,9.8,13.2519,6.4,86.2,988.3,1.2,0.2,132.5,119.6
2012-12-21T12:05:11,115.1,9.8,11.2957,6.6,84.5,988.4,1.2,0.1,138.4,140.3
2012-12-21T12:10:11,138.5,10.2,15.1949,6.8,84.6,988.2,1.2,0.8,151.2,152.9
2012-12-21T12:15:11,134.9,10.2,14.6150,6.7,82.2,988.0,1.2,0.5,150.3,152.0
2012-12-21T12:20:11,114.7,9.3,11.4190,6.3,82.9,987.9,1.2,0.0,133.9,135.4
2012-12-21T12:25:11,98.3,9.3,9.0646,6.5,83.8,987.8,1.2,-0.1,120.9,122.3
2012-12-21T12:30:11,75.4,8.9,6.0003,6.6,82.3,987.7,1.2,-0.1,94.9,96.0
2012-12-21T12:35:11,69.2,8.9,5.2779,6.6,82.9,987.7,1.2,0.0,83.4,84.4
2012-12-21T12:40:11,57.1,8.7,3.8204,6.6,83.5,987.8,1.2,-0.0,71.1,71.9
2012-12-21T12:45:11,49.6,8.4,3.0391,6.6,83.3,987.8,1.2,0.0,60.9,61.6
2012-12-21T12:50:11,47.3,8.4,2.8291,6.6,81.4,987.8,1.2,-0.1,58.9,59.6
2012-12-21T12:55:11,41.2,8.3,2.2296,6.6,81.1,987.8,1.2,-0.1,52.0,52.5
2012-12-21T13:00:11,35.1,8.4,1.6756,6.7,81.3,987.8,1.2,-0.0,43.6,44.1
2012-12-21T13:05:11,35.2,8.1,1.7301,6.7,83.9,987.9,1.2,0.0,44.4,45.0
2012-12-21T13:10:11,35.8,8.0,1.8560,6.6,85.2,988.0,1.3,0.0,43.4,44.0
2012-12-21T13:15:11,39.0,7.9,2.1524,6.6,85.0,987.9,1.4,0.0,46.8,47.3
2012-12-21T13:20:11,36.8,8.0,1.9300,6.7,86.5,987.8,1.4,-0.0,45.7,46.2
2012-12-21T13:25:11,23.5,7.9,0.8659,6.8,86.2,988.0,1.4,-0.0,29.9,30.2
2012-12-21T13:30:11,22.9,7.7,0.8264,6.7,88.0,988.0,1.6,-0.0,27.9,28.1
2012-12-21T13:35:11,25.4,7.6,0.9908,6.7,86.9,988.1,1.8,-0.0,29.5,29.9
2012-12-21T13:40:11,29.7,7.6,1.3055,6.6,88.0,988.0,2.0,-0.0,34.7,35.3
2012-12-21T13:45:11,30.1,7.8,1.3292,6.7,88.2,988.1,2.1,-0.0,38.0,38.5
2012-12-21T13:50:11,21.5,7.7,0.7314,6.7,87.3,988.1,2.2,-0.1,27.5,27.8
2012-12-21T13:55:11,26.2,7.4,1.0708,6.4,88.4,988.0,2.3,-0.1,29.2,29.4
2012-12-21T14:00:11,34.5,7.7,1.6860,6.4,87.9,988.0,2.6,-0.0,42.9,43.2
2012-12-21T14:05:11,28.2,7.6,1.1845,6.4,89.8,988.0,2.7,0.0,33.1,33.5
2012-12-21T14:10:11,27.2,7.5,1.0949,6.4,89.7,988.1,2.8,0.0,29.5,24.5
2012-12-21T14:15:11,24.7,7.4,0.9265,6.2,90.2,988.1,2.8,-0.0,32.0,32.2
2012-12-21T14:35:11,21.5,7.2,0.7308,6.2,90.9,988.2,3.1,-0.0,24.7,24.9
2012-12-21T14:40:11,21.7,7.1,0.7229,6.1,90.4,988.1,3.1,0.0,27.1,27.3
2012-12-21T15:05:11,33.4,6.8,1.7717,5.7,90.0,987.9,3.2,0.1,39.3,39.7
2012-12-21T15:15:11,20.2,6.7,0.5722,5.7,90.2,987.8,3.4,0.0,25.1,25.3
2012-12-21T15:20:11,23.7,6.8,0.7454,5.7,90.8,987.7,3.4,0.0,27.3,27.5
2012-12-21T15:25:11,24.7,6.9,0.7966,5.8,91.3,987.7,3.4,0.0,28.9,29.3
2012-12-21T15:30:11,24.6,7.1,0.7599,5.9,91.5,987.7,3.5,0.1,30.1,30.6
2012-12-21T15:35:11,26.4,7.1,0.8864,5.9,90.9,987.7,3.5,0.0,28.7,29.1
2012-12-21T15:40:11,31.2,7.0,1.2317,6.0,90.0,987.5,3.5,-0.1,33.0,33.5
2012-12-21T15:45:11,31.5,7.1,1.3050,6.1,90.2,987.6,3.5,0.0,33.6,34.2
2012-12-21T15:50:11,30.3,7.0,1.2456,6.0,90.3,987.4,3.5,-0.0,34.0,34.5
2012-12-21T15:55:11,25.4,6.7,0.9394,5.8,90.7,987.2,3.5,-0.1,28.7,29.1
2012-12-22T08:15:11,60.0,5.3,4.5545,5.6,81.8,983.5,2.6,103.1,22.4,15.1
2012-12-22T08:25:11,38.9,6.2,1.8163,5.8,80.5,983.7,2.6,11.4,28.0,27.2
2012-12-22T08:30:11,57.6,6.4,3.7985,5.8,80.7,983.7,2.6,4.0,44.9,45.0
2012-12-22T08:35:11,321.5,8.6,47.8763,6.0,79.7,983.8,2.6,383.6,135.9,92.3
2012-12-22T08:40:11,266.6,9.0,37.2701,6.2,79.0,983.8,2.6,346.4,105.6,61.3
2012-12-22T08:45:11,154.8,9.6,17.6589,6.4,77.2,983.7,2.6,129.6,74.6,56.8
2012-12-22T08:50:11,67.7,8.4,4.6271,6.4,75.0,983.8,2.6,9.7,57.8,56.9
2012-12-22T08:55:11,56.9,7.6,3.3689,6.4,76.5,984.0,2.6,0.0,56.1,56.8
2012-12-22T09:00:11,56.2,7.3,3.2410,6.3,76.8,984.1,2.6,-0.1,58.3,58.8
2012-12-22T09:05:11,54.9,7.0,2.9865,6.4,76.9,984.1,2.6,-0.1,51.2,51.6
2012-12-22T09:10:11,67.8,6.9,4.3136,6.3,77.2,984.3,2.6,9.0,52.6,51.2
2012-12-22T09:15:11,111.4,7.4,10.4659,6.3,76.1,984.3,2.6,31.4,78.4,72.9
2012-12-22T09:25:11,101.5,10.3,8.8449,6.7,74.9,984.6,2.6,4.4,98.4,98.6
2012-12-22T09:30:11,102.6,8.8,9.0280,6.7,74.0,984.7,2.6,3.2,97.5,97.7
2012-12-22T09:35:11,105.6,8.5,9.4455,6.7,74.1,984.8,2.6,1.9,103.9,104.4
2012-12-22T09:40:11,108.3,8.3,9.7770,6.7,74.5,985.0,2.6,1.2,104.9,105.6
2012-12-22T09:45:11,102.7,8.2,8.7863,6.7,74.1,985.1,2.6,0.6,94.5,95.2
2012-12-22T09:50:11,101.8,8.0,8.5222,6.6,71.5,985.0,2.6,0.2,92.5,93.4
2012-12-22T09:55:11,115.2,8.1,10.4329,6.6,74.5,985.5,2.6,8.2,90.2,88.7
2012-12-22T10:00:11,124.4,8.2,11.7454,6.5,73.9,985.5,2.6,13.7,84.8,81.8
2012-12-22T10:05:11,165.9,9.0,17.8758,6.5,75.2,985.6,2.6,51.7,97.3,83.5
2012-12-22T10:15:11,726.2,17.0,112.7490,6.8,73.6,985.8,2.6,730.9,312.8,92.2
2012-12-22T10:20:10,617.0,16.5,95.2097,7.1,71.2,985.7,2.6,505.6,277.4,122.4
2012-12-22T10:25:11,239.6,14.4,30.0725,7.0,70.3,985.7,2.6,91.7,163.2,135.7
2012-12-22T10:30:11,183.8,10.7,21.2148,6.9,71.5,985.8,2.6,37.6,134.5,123.5
2012-12-22T10:35:11,303.7,10.6,42.8764,6.8,71.9,985.8,2.6,157.5,177.3,126.8
2012-12-22T10:40:11,155.1,10.4,16.6262,6.8,73.0,986.0,2.6,2.3,134.6,135.6
2012-12-22T10:45:11,189.5,9.6,22.6338,6.6,72.4,985.9,2.6,20.3,144.5,127.7
2012-12-22T10:50:11,232.8,10.3,30.2863,6.7,74.3,986.0,2.6,39.8,176.9,164.8
2012-12-22T10:55:11,293.1,11.5,41.1409,6.7,74.5,986.1,2.6,61.9,213.7,194.0
2012-12-22T11:00:11,515.7,12.1,79.9340,6.9,72.8,986.0,2.6,286.6,314.7,215.2
2012-12-22T11:05:11,602.7,15.7,92.9704,7.1,72.9,986.1,2.6,339.3,369.7,250.8
2012-12-22T11:15:11,307.9,12.7,42.4462,7.2,71.4,986.1,2.6,2.1,254.9,256.9
2012-12-22T11:25:11,939.2,19.3,143.0429,7.8,68.6,986.0,2.6,864.4,426.0,104.7
2012-12-22T11:30:11,907.8,19.9,138.2712,7.8,68.1,986.0,2.6,867.7,399.1,74.3
2012-12-22T11:40:11,967.8,20.9,146.6773,7.9,67.9,986.1,2.6,872.3,429.7,99.2
2012-12-22T11:45:11,1013.5,20.2,153.5781,8.0,66.9,985.8,2.6,830.2,470.0,154.6
2012-12-22T11:50:11,177.1,17.2,19.3893,8.0,68.4,986.2,2.6,7.6,117.2,116.0
2012-12-22T11:55:11,220.8,12.4,27.8564,7.7,68.3,986.0,2.6,2.3,193.5,194.2
2012-12-22T12:00:11,269.8,10.5,37.3161,7.4,69.3,986.1,2.6,50.4,170.2,152.2
2012-12-22T12:15:11,963.6,21.6,145.6495,8.0,67.2,986.3,2.6,857.7,426.1,92.4
2012-12-22T12:20:11,960.8,21.3,145.6730,8.2,66.6,986.3,2.6,861.3,424.6,93.5
2012-12-22T12:40:11,222.8,13.7,27.1429,8.1,65.0,986.4,2.6,11.1,164.8,162.7
2012-12-22T12:45:11,233.8,12.8,28.4706,8.0,66.4,986.4,2.6,58.1,175.9,155.6
2012-12-22T12:50:11,346.3,11.6,50.1248,7.7,67.2,986.4,2.6,140.3,226.7,175.3
2012-12-22T12:55:11,792.5,14.3,126.4567,7.7,67.6,986.4,2.6,551.8,424.9,220.3
2012-12-22T13:00:11,232.9,15.6,28.4501,8.0,66.9,986.4,2.6,20.7,187.7,182.4
2012-12-22T13:05:11,173.0,12.0,19.0162,8.0,65.0,986.3,2.6,4.8,137.6,137.1
2012-12-22T13:10:11,202.7,11.2,24.4274,7.8,66.0,986.5,2.6,26.7,155.5,147.1
2012-12-22T13:15:11,144.5,10.4,14.8470,7.7,64.2,986.3,2.6,2.9,126.4,126.5
2012-12-22T13:20:11,178.2,10.2,20.5268,7.6,65.6,986.5,2.6,1.1,153.7,154.3
2012-12-22T13:25:11,153.5,9.8,16.5937,7.5,65.8,986.4,2.6,0.2,154.2,154.9
2012-12-22T13:30:11,116.9,9.8,11.3386,7.4,67.8,986.7,2.6,0.2,135.1,135.9
2012-12-22T13:35:11,86.0,9.6,7.3012,7.4,68.2,986.8,2.6,0.2,98.2,98.8
2012-12-22T13:40:11,99.8,8.9,9.5659,7.4,66.8,986.6,2.6,1.4,107.6,107.6
2012-12-22T13:45:11,117.3,8.5,12.0685,7.3,69.3,986.7,2.6,0.8,120.2,120.6
2012-12-22T13:50:11,114.7,8.3,11.1576,7.2,68.8,986.6,2.6,1.5,120.9,120.9
2012-12-22T13:55:11,93.3,8.4,7.9745,7.2,67.8,986.6,2.6,0.3,102.5,102.8
2012-12-22T14:00:11,100.7,8.9,8.8798,7.2,67.9,986.7,2.6,0.3,111.5,111.8
2012-12-22T14:05:11,85.6,9.3,6.8613,7.3,68.3,986.8,2.6,0.5,95.4,95.7
2012-12-22T14:10:11,94.2,9.5,8.0594,7.4,68.3,986.8,2.6,0.4,96.2,96.5
2012-12-22T14:15:11,97.0,9.5,8.3475,7.4,67.2,986.7,2.6,0.3,103.8,104.1
2012-12-22T14:20:11,81.6,9.2,6.3262,7.4,66.8,986.7,2.6,0.2,93.9,94.3
2012-12-22T14:25:11,71.7,9.0,5.2272,7.4,66.6,986.8,2.6,0.1,82.4,82.7
2012-12-22T14:30:11,64.2,8.8,4.3830,7.4,66.1,986.6,2.6,0.1,77.2,77.4
2012-12-22T14:35:11,51.3,8.7,3.0138,7.4,66.8,986.7,2.6,0.0,64.7,64.9
2012-12-22T14:40:11,38.8,8.5,1.8940,7.3,67.2,986.7,2.6,0.0,49.7,49.8
2012-12-22T14:45:11,33.4,8.3,1.4932,7.3,67.1,986.8,2.6,-0.0,41.0,41.1
2012-12-22T14:50:11,26.8,8.3,1.0408,7.4,67.2,986.8,2.6,-0.0,33.2,33.2
2012-12-22T14:55:11,25.3,8.2,0.9355,7.4,67.1,986.7,2.6,0.1,27.4,27.5
2012-12-22T15:00:11,49.3,8.4,2.9017,7.4,67.8,986.7,2.6,0.4,48.1,48.3
2012-12-22T15:05:11,52.9,8.6,3.1408,7.4,67.4,986.7,2.6,0.1,60.0,60.3
2012-12-22T15:10:11,56.4,8.7,3.4925,7.4,67.9,986.7,2.6,0.1,63.7,64.0
2012-12-22T15:15:11,47.3,8.8,2.5610,7.5,67.3,986.8,2.6,0.2,62.1,62.4
2012-12-22T15:20:11,44.8,8.7,2.4042,7.5,66.9,986.9,2.6,0.1,49.7,50.0
2012-12-22T15:25:11,43.6,8.3,2.3131,7.5,66.5,986.9,2.6,0.2,49.6,49.9
2012-12-22T15:30:11,48.3,8.5,2.8279,7.5,66.2,987.0,2.6,0.1,54.8,55.1
2012-12-22T15:35:11,45.7,8.3,2.5738,7.4,68.9,987.0,2.6,0.1,53.1,53.4
2012-12-22T15:40:11,38.6,7.8,1.8195,7.3,69.0,987.1,2.6,-0.0,46.6,46.9
