Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-12-20T10:40:08,22.8,4.6,0.8251,3.9,85.9,989.1,18.8,0.0,28.0,28.3
2012-12-20T10:45:08,31.2,4.7,1.2849,3.9,85.4,989.1,18.8,0.1,37.3,37.8
2012-12-20T10:50:08,34.0,4.8,1.4394,3.9,85.8,989.3,18.8,0.1,41.2,41.8
2012-12-20T10:55:08,29.4,4.7,1.1731,3.9,85.9,989.2,18.8,0.1,35.6,36.1
2012-12-20T11:00:08,32.8,4.8,1.3535,3.9,85.2,989.2,18.9,0.1,40.3,40.9
2012-12-20T11:05:08,35.6,4.8,1.5232,3.9,85.1,989.4,18.9,0.1,44.2,44.8
2012-12-20T11:10:08,33.7,4.8,1.4093,3.9,85.0,989.6,18.9,0.2,41.5,42.1
2012-12-20T11:15:08,37.6,4.8,1.6665,3.9,85.2,989.6,18.9,0.2,44.6,45.2
2012-12-20T11:20:08,39.1,4.8,1.7649,4.0,85.4,989.6,18.9,0.1,46.9,47.7
2012-12-20T11:25:08,37.5,4.9,1.6617,4.0,85.7,989.7,18.9,0.2,44.0,44.8
2012-12-20T11:30:08,37.8,5.1,1.6695,4.1,85.8,989.7,19.0,0.2,45.6,46.3
2012-12-20T11:35:08,33.1,5.2,1.3984,4.3,85.8,989.8,19.0,0.2,39.9,40.5
2012-12-20T11:40:08,32.2,5.3,1.3363,4.4,85.9,989.9,19.1,0.2,39.3,40.0
2012-12-20T11:45:08,29.2,5.3,1.1765,4.4,84.9,990.0,19.2,0.1,35.0,35.5
2012-12-20T11:50:08,30.7,5.3,1.2646,4.4,84.1,990.1,19.2,0.1,37.4,37.9
2012-12-20T11:55:08,34.3,5.2,1.4889,4.4,84.2,990.0,19.3,0.1,40.8,41.4
2012-12-20T12:00:08,35.4,5.3,1.5311,4.3,86.0,989.9,19.4,0.1,42.5,43.2
2012-12-20T12:05:08,30.7,5.2,1.2591,4.3,86.5,990.1,19.5,0.2,38.2,38.7
2012-12-20T12:10:08,31.3,5.2,1.3193,4.3,83.6,990.1,19.6,0.1,38.4,38.8
2012-12-20T12:15:08,27.1,5.1,1.0618,4.3,85.5,990.1,19.7,0.2,32.8,33.2
2012-12-20T12:20:08,24.4,5.1,0.9198,4.3,85.2,990.4,19.8,0.1,29.6,30.0
2012-12-20T12:25:08,24.0,5.0,0.9091,4.3,85.9,990.6,19.9,0.2,28.9,29.2
2012-12-20T12:30:08,24.6,5.1,0.9239,4.3,86.3,990.5,20.0,0.2,30.3,30.7
2012-12-20T12:35:08,24.2,5.0,0.9074,4.2,85.3,990.5,20.1,0.1,29.8,30.1
2012-12-20T12:40:08,24.6,5.1,0.9338,4.3,86.8,990.6,20.2,0.2,29.5,29.9
2012-12-20T12:45:08,24.9,5.0,0.9489,4.3,85.3,990.6,20.4,0.2,29.9,30.2
2012-12-20T12:55:08,21.9,4.7,0.8044,3.9,85.6,990.8,20.7,0.1,25.2,25.5
2012-12-20T13:05:08,20.6,4.5,0.7345,3.8,85.7,990.9,21.0,0.1,24.9,25.2
2012-12-20T13:10:08,21.6,4.4,0.7904,3.8,86.5,990.9,21.2,0.1,25.7,25.9
2012-12-20T13:15:08,21.0,4.4,0.7520,3.7,86.4,991.0,21.3,0.1,24.5,24.8
2012-12-20T13:20:08,20.4,4.4,0.7174,3.7,86.7,991.1,21.5,0.1,24.2,24.5
2012-12-20T13:25:08,21.5,4.4,0.7871,3.6,86.6,991.0,21.7,0.2,26.1,26.3
2012-12-20T13:55:08,24.2,3.9,0.9180,3.3,86.8,991.2,23.4,0.0,28.0,28.3
2012-12-20T14:00:08,37.7,4.1,1.6525,3.1,86.6,991.2,23.6,0.1,46.7,47.2
2012-12-20T14:05:08,27.1,4.0,1.0411,3.1,87.4,991.3,23.6,0.1,31.5,31.7
2012-12-20T14:10:08,37.5,4.3,1.6503,3.2,88.2,991.3,23.7,0.2,45.4,45.9
2012-12-20T14:15:08,32.1,4.2,1.3140,3.2,86.3,991.3,23.7,0.2,38.1,38.3
2012-12-20T14:20:08,30.1,4.3,1.1754,3.2,87.2,991.1,23.7,0.2,36.5,36.9
2012-12-20T14:25:08,31.4,4.4,1.2327,3.4,87.2,991.1,23.7,0.3,37.9,38.3
2012-12-20T14:30:08,33.5,4.5,1.4063,3.6,86.6,991.6,23.7,0.3,39.3,39.7
2012-12-20T14:35:08,25.5,4.6,0.9491,3.6,85.9,991.5,23.8,0.3,30.3,30.5
2012-12-20T14:40:08,29.1,4.5,1.1236,3.6,85.4,991.1,23.8,0.2,35.2,35.4
2012-12-20T14:45:08,24.3,4.5,0.8627,3.6,86.6,991.4,23.8,0.2,29.8,30.0
2012-12-20T14:50:08,21.1,4.6,0.7135,3.6,86.7,991.5,23.9,0.2,25.2,25.2
2012-12-21T09:00:08,22.4,6.1,0.7763,5.3,86.8,989.5,1.1,-0.1,27.6,27.8
2012-12-21T09:05:08,25.0,5.8,0.9090,5.0,87.6,988.9,1.1,-0.2,28.5,28.7
2012-12-21T09:10:08,38.2,5.8,1.5820,4.7,89.4,988.9,1.1,-0.1,43.8,44.2
2012-12-21T09:15:08,46.8,5.7,2.0450,4.7,89.2,989.0,1.1,-0.1,52.9,53.3
2012-12-21T09:20:08,57.3,5.9,2.6380,4.7,89.0,989.4,1.1,0.0,61.9,62.4
2012-12-21T09:25:08,58.1,6.2,2.6125,4.9,88.1,989.6,1.1,0.0,64.2,64.7
