Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-12-20T10:40:18,22.7,5.1,1.1123,3.9,86.2,989.1,18.8,0.0,27.9,28.2
2012-12-20T10:45:18,31.3,5.2,1.6874,3.9,85.6,989.1,18.8,0.1,37.6,38.1
2012-12-20T10:50:18,33.8,5.3,1.8454,3.9,86.1,989.2,18.8,0.1,41.1,41.7
2012-12-20T10:55:18,29.7,5.3,1.5530,3.9,85.9,989.2,18.8,0.1,35.9,36.4
2012-12-20T11:00:18,32.7,5.3,1.7477,3.9,85.5,989.3,18.9,0.1,40.0,40.7
2012-12-20T11:05:18,35.2,5.3,1.9195,3.9,85.4,989.4,18.9,0.1,43.7,44.3
2012-12-20T11:10:18,33.2,5.3,1.7951,3.9,85.0,989.6,18.9,0.2,40.9,41.5
2012-12-20T11:15:18,37.6,5.3,2.1354,3.9,85.2,989.6,18.9,0.2,44.9,45.6
2012-12-20T11:20:18,39.1,5.3,2.2439,4.0,85.2,989.6,18.9,0.1,47.0,47.7
2012-12-20T11:25:18,37.9,5.5,2.1614,4.0,85.7,989.7,18.9,0.2,44.4,45.1
2012-12-20T11:30:18,37.6,5.6,2.1272,4.1,85.9,989.7,19.0,0.2,45.6,46.2
2012-12-20T11:35:18,33.2,5.7,1.8257,4.3,85.8,989.8,19.0,0.2,39.9,40.5
2012-12-20T11:40:18,31.8,5.8,1.7202,4.4,85.8,989.9,19.1,0.2,39.0,39.7
2012-12-20T11:45:18,29.1,5.8,1.5614,4.4,85.2,990.1,19.2,0.1,34.9,35.4
2012-12-20T11:50:18,30.5,5.8,1.6538,4.4,84.4,990.1,19.2,0.1,37.2,37.7
2012-12-20T11:55:18,35.0,5.8,1.9844,4.4,84.6,990.0,19.3,0.1,41.3,41.9
2012-12-20T12:00:18,35.7,5.8,2.0195,4.3,85.9,989.9,19.4,0.2,42.8,43.4
2012-12-20T12:05:18,30.7,5.9,1.6688,4.3,86.3,990.1,19.5,0.1,37.7,38.2
2012-12-20T12:10:18,31.3,5.7,1.7342,4.3,84.3,990.1,19.6,0.1,38.5,38.9
2012-12-20T12:15:18,27.2,5.6,1.4319,4.3,85.0,990.1,19.7,0.1,33.0,33.4
2012-12-20T12:20:18,24.6,5.6,1.2781,4.3,85.5,990.5,19.8,0.1,29.7,30.1
2012-12-20T12:25:18,24.0,5.6,1.2504,4.3,85.8,990.5,19.9,0.1,28.9,29.3
2012-12-20T12:30:18,24.5,5.6,1.2636,4.3,86.3,990.5,20.0,0.2,30.0,30.4
2012-12-20T12:35:18,24.3,5.6,1.2478,4.2,85.2,990.5,20.1,0.1,29.9,30.1
2012-12-20T12:40:18,25.2,5.6,1.3291,4.3,86.1,990.6,20.2,0.1,29.8,30.1
2012-12-20T12:45:18,25.0,5.5,1.3060,4.3,85.5,990.6,20.4,0.2,30.0,30.3
2012-12-20T12:55:18,22.6,5.2,1.1799,3.9,85.8,990.8,20.7,0.1,26.1,26.4
2012-12-20T13:05:18,20.5,5.0,1.0253,3.8,86.3,990.9,21.0,0.1,24.9,25.1
2012-12-20T13:10:18,21.6,4.9,1.1070,3.8,86.6,990.9,21.2,0.2,26.0,26.2
2012-12-20T13:15:18,21.6,4.9,1.1054,3.7,86.3,991.0,21.4,0.1,25.0,25.3
2012-12-20T13:20:18,20.4,4.9,1.0166,3.7,86.7,991.1,21.5,0.1,24.3,24.6
2012-12-20T13:25:18,21.3,4.9,1.0889,3.6,86.6,991.0,21.7,0.2,26.0,26.2
2012-12-20T13:55:18,25.3,4.3,1.3183,3.3,86.8,991.1,23.4,0.0,29.4,29.7
2012-12-20T14:00:18,37.0,4.5,2.0545,3.1,86.6,991.2,23.6,0.1,46.2,46.6
2012-12-20T14:05:18,27.5,4.5,1.3965,3.1,87.6,991.3,23.6,0.1,31.8,32.0
2012-12-20T14:10:18,37.0,4.8,2.0350,3.3,88.1,991.3,23.7,0.2,44.9,45.5
2012-12-20T14:15:18,32.4,4.7,1.7157,3.2,86.1,991.3,23.7,0.2,38.6,38.9
2012-12-20T14:20:19,29.4,4.9,1.4747,3.2,87.2,991.1,23.7,0.2,36.1,36.5
2012-12-20T14:25:19,31.5,5.0,1.5938,3.4,87.1,991.1,23.7,0.2,37.8,38.3
2012-12-20T14:30:19,33.4,5.2,1.7691,3.6,86.5,991.6,23.7,0.3,39.3,39.7
2012-12-20T14:35:20,25.8,5.1,1.2557,3.6,86.0,991.5,23.8,0.3,30.5,30.7
2012-12-20T14:40:19,28.9,5.1,1.4346,3.6,85.2,991.1,23.8,0.2,35.1,35.3
2012-12-20T14:45:19,24.2,5.1,1.1298,3.6,86.4,991.4,23.8,0.2,29.7,29.9
2012-12-20T14:50:20,21.0,5.1,0.9389,3.6,86.5,991.5,23.9,0.2,25.0,25.1
2012-12-21T09:00:20,22.4,6.5,0.9701,5.3,86.6,989.5,1.1,-0.1,27.6,27.8
2012-12-21T09:05:19,25.4,6.3,1.1510,5.0,87.7,988.9,1.1,-0.2,28.8,29.0
2012-12-21T09:10:19,38.5,6.3,1.9430,4.7,89.5,988.9,1.1,-0.1,44.2,44.5
2012-12-21T09:15:19,47.0,6.2,2.4840,4.7,89.2,989.0,1.1,-0.1,53.1,53.6
2012-12-21T09:20:19,57.7,6.4,3.1797,4.7,88.9,989.4,1.1,0.0,62.3,62.9
2012-12-21T09:25:19,58.4,6.7,3.2047,4.9,87.7,989.6,1.1,-0.0,64.4,65.0
2012-12-21T09:30:19,73.1,7.1,4.1859,5.1,87.6,989.6,1.1,0.1,74.7,75.5
2012-12-21T09:35:19,70.2,7.3,3.9280,5.2,87.1,989.7,1.1,0.1,72.2,72.8
2012-12-21T09:40:19,63.8,7.5,3.4998,5.3,86.8,989.7,1.1,0.1,63.1,63.7
2012-12-21T09:45:19,67.0,7.6,3.7654,5.4,85.4,989.7,1.1,6.6,53.2,52.7
2012-12-21T09:50:19,120.8,8.4,7.5362,5.6,85.6,989.7,1.1,22.6,85.0,80.9
2012-12-21T09:55:19,114.4,9.0,7.0755,5.8,84.2,989.7,1.1,6.2,89.3,89.2
2012-12-21T10:00:19,190.0,10.2,12.1929,5.9,84.1,989.6,1.1,56.6,133.2,119.6
2012-12-21T10:05:19,268.8,11.6,17.5122,6.1,83.9,989.6,1.1,97.3,146.8,91.5
2012-12-21T10:10:19,123.7,12.9,7.6060,6.2,84.9,989.7,1.1,0.6,125.3,126.2
2012-12-21T10:15:19,143.3,11.7,9.1543,5.8,85.5,989.7,1.1,0.9,131.3,132.7
2012-12-21T10:20:19,184.8,11.7,11.9399,5.9,86.0,989.6,1.1,20.9,146.1,140.5
2012-12-21T10:25:19,116.3,11.0,7.1613,5.6,86.4,989.6,1.1,0.1,109.0,110.1
2012-12-21T10:30:19,104.9,10.3,6.4609,5.8,85.8,989.6,1.1,5.2,90.9,90.2
2012-12-21T10:35:19,153.4,10.4,9.9107,5.9,85.5,989.6,1.1,1.6,142.3,143.2
2012-12-21T10:40:19,170.3,11.6,11.0457,6.1,85.9,989.7,1.1,9.7,159.7,158.1
2012-12-21T10:45:19,155.1,12.2,10.0765,6.3,84.0,989.6,1.1,2.8,144.0,144.7
2012-12-21T10:50:19,125.8,12.3,7.9498,6.5,83.0,989.6,1.1,1.2,132.5,133.3
2012-12-21T10:55:19,108.4,12.0,6.7912,6.5,82.9,989.6,1.1,0.4,115.2,116.2
2012-12-21T11:00:19,100.3,11.7,6.1865,6.7,83.1,989.6,1.1,0.3,118.1,119.0
2012-12-21T11:05:19,86.8,11.1,5.3010,6.6,82.8,989.5,1.1,0.2,100.0,100.7
2012-12-21T11:10:19,93.7,10.8,5.7428,6.3,84.1,989.4,1.1,0.2,112.5,113.2
2012-12-21T11:15:19,56.3,9.7,3.2068,6.1,84.6,989.3,1.1,-0.0,68.6,69.0
2012-12-21T11:20:19,73.8,9.3,4.5509,6.0,85.8,989.3,1.1,0.0,83.4,84.0
2012-12-21T11:25:19,69.6,9.0,4.2736,5.9,86.2,989.2,1.2,0.0,76.5,77.1
2012-12-21T11:30:19,111.6,9.0,7.2986,5.9,87.2,989.0,1.2,0.2,124.7,125.6
2012-12-21T11:35:19,116.0,9.3,7.5529,5.9,87.0,988.9,1.2,0.2,129.9,130.7
2012-12-21T11:40:19,155.4,9.7,10.3114,6.0,86.8,988.7,1.2,0.3,175.9,173.6
2012-12-21T11:45:19,164.8,10.0,10.9847,5.8,85.8,988.4,1.2,0.5,189.5,190.5
2012-12-21T11:50:19,139.4,10.2,9.0914,6.0,85.7,988.4,1.2,2.2,140.6,101.0
2012-12-21T11:55:19,126.8,10.2,8.1000,6.1,86.5,988.2,1.2,0.3,114.6,81.0
2012-12-21T12:00:19,129.6,10.5,8.2509,6.4,86.2,988.3,1.2,0.2,140.1,137.7
2012-12-21T12:05:19,115.2,10.5,7.2949,6.6,84.5,988.4,1.2,0.1,138.3,140.2
2012-12-21T12:10:19,138.8,11.0,9.0187,6.8,84.7,988.2,1.2,0.8,151.3,153.0
2012-12-21T12:15:19,134.4,11.1,8.6985,6.7,81.7,988.0,1.2,0.5,150.1,151.8
2012-12-21T12:20:19,114.2,10.4,7.2657,6.3,83.0,987.9,1.2,0.0,133.6,135.1
