Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-12-20T10:40:12,22.7,5.2,4.8606,3.9,86.0,989.1,18.8,0.0,28.0,28.3
2012-12-20T10:45:12,31.2,5.3,6.8709,3.9,85.6,989.1,18.8,0.1,37.4,37.9
2012-12-20T10:50:12,33.9,5.4,7.4673,3.9,85.9,989.3,18.8,0.1,41.1,41.8
2012-12-20T10:55:12,29.6,5.3,6.4365,3.9,85.9,989.2,18.8,0.1,35.7,36.2
2012-12-20T11:00:12,32.7,5.4,7.1382,3.9,85.4,989.2,18.9,0.1,40.2,40.8
2012-12-20T11:05:12,35.5,5.3,7.7699,3.9,85.2,989.4,18.9,0.1,44.0,44.6
2012-12-20T11:10:12,33.6,5.4,7.3270,3.9,85.0,989.6,18.9,0.2,41.2,41.8
2012-12-20T11:15:12,37.6,5.3,8.3856,3.9,85.2,989.6,18.9,0.2,44.7,45.4
2012-12-20T11:20:12,39.1,5.4,8.7594,4.0,85.3,989.6,18.9,0.1,46.9,47.7
2012-12-20T11:25:12,37.7,5.6,8.4203,4.0,85.7,989.7,18.9,0.2,44.2,44.9
2012-12-20T11:30:12,37.7,5.7,8.3978,4.1,85.9,989.7,19.0,0.2,45.6,46.3
2012-12-20T11:35:12,33.1,5.8,7.3451,4.3,85.9,989.8,19.0,0.2,39.9,40.5
2012-12-20T11:40:12,32.0,5.9,7.0216,4.4,85.8,989.9,19.1,0.2,39.2,39.8
2012-12-20T11:45:12,29.1,5.9,6.3981,4.4,85.0,990.0,19.2,0.1,34.9,35.4
2012-12-20T11:50:12,30.6,5.9,6.7383,4.4,84.3,990.1,19.2,0.1,37.3,37.8
2012-12-20T11:55:12,34.6,5.9,7.7161,4.4,84.4,990.0,19.3,0.1,41.0,41.6
2012-12-20T12:00:12,35.5,5.8,7.8884,4.3,85.9,989.9,19.4,0.1,42.6,43.3
2012-12-20T12:05:12,30.7,5.8,6.7432,4.3,86.4,990.1,19.5,0.1,37.9,38.4
2012-12-20T12:10:12,31.3,5.7,6.9548,4.3,83.9,990.1,19.6,0.1,38.5,38.9
2012-12-20T12:15:12,27.1,5.7,5.8992,4.3,84.9,990.1,19.7,0.1,33.0,33.3
2012-12-20T12:20:12,24.5,5.7,5.3076,4.3,85.4,990.4,19.8,0.1,29.6,30.0
2012-12-20T12:25:12,24.1,5.7,5.2233,4.3,85.9,990.6,19.9,0.2,28.9,29.3
2012-12-20T12:30:12,24.6,5.7,5.2929,4.3,86.4,990.5,20.0,0.2,30.1,30.5
2012-12-20T12:35:12,24.3,5.7,5.2333,4.2,85.3,990.5,20.1,0.1,29.9,30.1
2012-12-20T12:40:12,24.9,5.7,5.4174,4.3,86.6,990.6,20.2,0.1,29.6,29.9
2012-12-20T12:45:12,24.9,5.6,5.4071,4.3,85.4,990.6,20.4,0.2,30.0,30.3
2012-12-20T12:55:12,22.3,5.3,4.8052,3.9,85.8,990.8,20.7,0.1,25.6,25.9
2012-12-20T13:05:12,20.5,5.1,4.3953,3.8,86.1,990.9,21.0,0.1,24.9,25.2
2012-12-20T13:10:12,21.6,5.1,4.6569,3.8,86.7,990.9,21.2,0.1,25.9,26.1
2012-12-20T13:15:12,21.2,5.1,4.5644,3.7,86.4,991.0,21.3,0.1,24.7,25.0
2012-12-20T13:20:12,20.4,5.1,4.3335,3.7,86.6,991.1,21.5,0.1,24.3,24.6
2012-12-20T13:25:12,21.4,5.0,4.6271,3.6,86.6,991.0,21.7,0.2,26.1,26.3
2012-12-20T13:55:12,24.7,4.5,5.4390,3.3,86.8,991.2,23.4,0.0,28.7,29.0
2012-12-20T14:00:12,37.5,4.7,8.2775,3.1,86.6,991.2,23.6,0.1,46.5,47.0
2012-12-20T14:05:12,27.3,4.6,5.9465,3.1,87.5,991.3,23.6,0.1,31.6,31.8
2012-12-20T14:10:12,37.4,4.9,8.3272,3.3,88.1,991.3,23.7,0.2,45.2,45.7
2012-12-20T14:15:12,32.2,4.7,7.1303,3.2,86.2,991.3,23.7,0.2,38.4,38.6
2012-12-20T14:20:12,29.8,4.8,6.4645,3.2,87.2,991.1,23.7,0.2,36.3,36.7
2012-12-20T14:25:12,31.4,5.0,6.7837,3.4,87.2,991.1,23.7,0.3,37.9,38.3
2012-12-20T14:30:12,33.4,5.1,7.4364,3.6,86.4,991.6,23.7,0.3,39.3,39.7
2012-12-20T14:35:12,25.6,5.1,5.5677,3.6,85.9,991.5,23.8,0.3,30.4,30.6
2012-12-20T14:40:12,29.0,5.0,6.2923,3.6,85.2,991.1,23.8,0.2,35.2,35.4
2012-12-20T14:45:12,24.3,5.1,5.1888,3.6,86.4,991.4,23.8,0.2,29.8,30.0
2012-12-20T14:50:12,21.0,5.1,4.4838,3.6,86.5,991.5,23.9,0.2,25.1,25.1
2012-12-21T09:00:12,22.4,6.8,4.7491,5.3,86.7,989.5,1.1,-0.1,27.6,27.8
2012-12-21T09:05:12,25.2,6.5,5.3965,5.0,87.6,988.9,1.1,-0.2,28.6,28.8
2012-12-21T09:10:12,38.4,6.5,8.2031,4.7,89.5,988.9,1.1,-0.1,44.0,44.3
2012-12-21T09:15:12,46.9,6.3,10.0077,4.7,89.2,989.0,1.1,-0.1,53.0,53.5
2012-12-21T09:20:12,57.4,6.5,12.2466,4.7,89.0,989.4,1.1,0.0,62.1,62.7
2012-12-21T09:25:12,58.2,6.7,12.1762,4.9,87.9,989.6,1.1,0.0,64.3,64.9
2012-12-21T09:30:12,72.8,7.0,15.2799,5.1,87.6,989.6,1.1,0.1,74.5,75.3
2012-12-21T09:35:12,70.4,7.2,14.4049,5.2,87.0,989.7,1.1,0.1,72.4,73.0
2012-12-21T09:40:12,64.0,7.3,12.9673,5.3,86.7,989.7,1.1,0.1,63.2,63.8
2012-12-21T09:45:12,65.8,7.6,13.5453,5.4,85.4,989.7,1.1,6.2,53.0,52.6
2012-12-21T09:50:12,121.5,8.7,26.1397,5.6,85.6,989.7,1.1,25.2,85.4,80.6
2012-12-21T09:55:12,115.9,9.3,24.6250,5.8,84.2,989.6,1.1,7.0,89.3,88.9
2012-12-21T10:00:12,199.1,10.3,42.7944,5.9,84.2,989.6,1.1,65.3,135.8,119.7
2012-12-21T10:05:12,252.6,11.6,56.0281,6.1,83.8,989.6,1.1,79.3,148.8,111.9
2012-12-21T10:10:12,126.9,12.6,26.6864,6.2,84.9,989.7,1.1,0.6,127.1,128.0
