Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-12-20T10:40:19,22.7,5.0,2.5521,3.9,86.2,989.1,18.8,0.0,27.9,28.2
2012-12-20T10:45:19,31.3,5.2,3.5783,3.9,85.6,989.1,18.8,0.1,37.6,38.1
2012-12-20T10:50:19,33.8,5.2,3.8515,3.9,86.1,989.2,18.8,0.1,41.1,41.7
2012-12-20T10:55:19,29.8,5.2,3.3609,3.9,85.9,989.2,18.8,0.1,35.9,36.4
2012-12-20T11:00:19,32.7,5.2,3.6907,3.9,85.5,989.3,18.9,0.1,40.0,40.7
2012-12-20T11:05:19,35.1,5.2,3.9691,3.9,85.4,989.4,18.9,0.1,43.7,44.3
2012-12-20T11:10:19,33.2,5.2,3.7570,3.9,85.0,989.6,18.9,0.2,40.9,41.5
2012-12-20T11:15:19,37.7,5.2,4.3310,3.9,85.2,989.6,18.9,0.2,44.9,45.6
2012-12-20T11:20:19,39.1,5.2,4.5113,4.0,85.2,989.6,18.9,0.1,47.0,47.7
2012-12-20T11:25:19,37.9,5.4,4.3857,4.0,85.7,989.7,18.9,0.2,44.4,45.1
2012-12-20T11:30:19,37.6,5.5,4.3143,4.1,85.9,989.7,19.0,0.2,45.6,46.2
2012-12-20T11:35:19,33.2,5.6,3.7985,4.3,85.8,989.8,19.0,0.2,39.9,40.5
2012-12-20T11:40:20,31.8,5.7,3.6123,4.4,85.8,989.9,19.1,0.2,39.0,39.7
2012-12-20T11:45:20,29.1,5.7,3.3389,4.4,85.2,990.1,19.2,0.1,34.9,35.4
2012-12-20T11:50:19,30.4,5.7,3.4903,4.4,84.4,990.1,19.2,0.1,37.2,37.7
2012-12-20T11:55:19,35.1,5.7,4.0703,4.4,84.6,990.0,19.3,0.1,41.3,41.9
2012-12-20T12:00:19,35.7,5.7,4.1309,4.3,85.9,989.9,19.4,0.2,42.8,43.4
2012-12-20T12:05:19,30.7,5.8,3.5318,4.3,86.3,990.1,19.5,0.1,37.7,38.2
2012-12-20T12:10:19,31.2,5.6,3.6172,4.3,84.3,990.1,19.6,0.1,38.5,38.9
2012-12-20T12:15:19,27.2,5.5,3.1141,4.3,85.0,990.1,19.7,0.1,33.0,33.4
2012-12-20T12:20:19,24.6,5.5,2.8323,4.3,85.5,990.5,19.8,0.1,29.7,30.1
2012-12-20T12:25:19,24.0,5.5,2.7788,4.3,85.8,990.5,19.9,0.1,28.9,29.3
2012-12-20T12:30:19,24.5,5.5,2.8106,4.3,86.3,990.5,20.0,0.2,30.0,30.4
2012-12-20T12:35:20,24.4,5.5,2.7891,4.2,85.2,990.5,20.1,0.1,29.9,30.1
2012-12-20T12:40:19,25.4,5.6,2.9463,4.3,86.1,990.6,20.2,0.1,29.8,30.1
2012-12-20T12:45:19,25.0,5.5,2.8946,4.3,85.5,990.6,20.4,0.2,30.0,30.3
2012-12-20T12:55:19,22.7,5.1,2.6571,3.9,85.8,990.8,20.7,0.1,26.1,26.4
2012-12-20T13:05:19,20.4,5.0,2.3597,3.8,86.3,990.9,21.0,0.1,24.9,25.1
2012-12-20T13:10:19,21.6,4.9,2.5088,3.8,86.6,990.9,21.2,0.2,26.0,26.2
2012-12-20T13:15:19,21.6,4.9,2.5192,3.7,86.3,991.0,21.4,0.1,25.0,25.3
2012-12-20T13:20:19,20.4,4.8,2.3564,3.7,86.7,991.1,21.5,0.1,24.3,24.6
2012-12-20T13:25:19,21.2,4.9,2.4725,3.6,86.6,991.0,21.7,0.2,26.0,26.2
2012-12-20T13:55:19,25.4,4.3,2.9023,3.3,86.8,991.1,23.4,0.0,29.4,29.7
2012-12-20T14:00:19,36.9,4.5,4.1803,3.1,86.6,991.2,23.6,0.1,46.2,46.6
2012-12-20T14:05:19,27.5,4.4,3.0719,3.1,87.6,991.3,23.6,0.1,31.8,32.0
2012-12-20T14:10:19,36.9,4.7,4.1201,3.3,88.1,991.3,23.7,0.2,44.9,45.5
2012-12-20T14:15:19,32.5,4.6,3.6138,3.2,86.1,991.3,23.7,0.2,38.6,38.9
2012-12-20T14:20:21,29.4,4.7,3.2162,3.2,87.2,991.1,23.7,0.2,35.8,36.2
2012-12-20T14:25:21,31.5,4.8,3.4411,3.4,87.1,991.1,23.7,0.2,37.8,38.2
2012-12-20T14:30:21,33.4,5.0,3.6828,3.6,86.5,991.6,23.7,0.3,39.2,39.6
2012-12-20T14:35:21,25.8,5.0,2.8174,3.6,86.1,991.5,23.8,0.3,30.6,30.8
2012-12-20T14:40:21,28.8,4.9,3.1349,3.6,85.3,991.1,23.8,0.2,35.0,35.2
2012-12-20T14:45:21,24.2,4.9,2.5980,3.6,86.4,991.4,23.8,0.2,29.7,29.9
2012-12-20T14:50:21,21.0,4.9,2.2394,3.6,86.4,991.5,23.9,0.2,25.0,25.0
2012-12-21T09:00:21,22.4,6.5,2.2530,5.3,86.7,989.4,1.1,-0.1,27.6,27.8
2012-12-21T09:05:21,25.5,6.3,2.5830,5.0,87.7,988.9,1.1,-0.2,28.9,29.2
2012-12-21T09:10:21,38.5,6.2,3.9765,4.7,89.5,988.9,1.1,-0.1,44.3,44.7
2012-12-21T09:15:21,47.0,6.1,4.9015,4.7,89.3,989.0,1.1,-0.1,53.2,53.8
2012-12-21T09:20:21,57.7,6.3,6.0647,4.7,88.8,989.4,1.1,0.0,62.6,63.1
2012-12-21T09:25:21,58.5,6.6,6.1685,4.9,87.7,989.6,1.1,-0.0,64.6,65.1
2012-12-21T09:30:21,73.1,7.0,7.7767,5.1,87.5,989.6,1.1,0.1,74.9,75.7
2012-12-21T09:35:21,70.1,7.2,7.3886,5.2,87.1,989.7,1.1,0.2,72.0,72.5
2012-12-21T09:40:21,63.8,7.5,6.6626,5.3,87.1,989.7,1.1,0.2,62.9,63.6
2012-12-21T09:45:21,67.3,7.6,7.0118,5.4,85.4,989.7,1.1,7.3,53.4,52.8
2012-12-21T09:50:21,120.6,8.6,12.6156,5.6,85.4,989.6,1.1,21.9,85.1,81.2
2012-12-21T09:55:21,114.2,9.2,12.1222,5.9,84.4,989.6,1.1,4.6,89.0,89.3
2012-12-21T10:00:21,189.4,10.5,19.7250,5.9,84.0,989.6,1.1,49.2,131.1,119.5
2012-12-21T10:05:21,268.6,11.9,27.7581,6.1,83.9,989.6,1.1,110.1,162.8,123.8
2012-12-21T10:10:21,123.2,12.9,12.8009,6.1,84.9,989.7,1.1,0.6,123.5,124.5
2012-12-21T10:15:21,143.6,11.9,15.3665,5.8,85.4,989.7,1.1,1.0,132.2,133.6
2012-12-21T10:20:20,183.9,11.9,19.6766,5.9,86.0,989.6,1.1,20.9,146.1,140.5
2012-12-21T10:25:21,116.3,11.0,12.5585,5.6,86.6,989.6,1.1,0.1,109.1,110.1
2012-12-21T10:30:20,105.3,9.9,11.4982,5.8,85.8,989.6,1.1,5.2,90.9,90.2
2012-12-21T10:35:21,153.5,10.0,16.6823,5.9,85.8,989.6,1.1,1.7,142.8,143.7
2012-12-21T10:40:20,169.8,11.3,18.1697,6.1,85.9,989.7,1.1,9.7,159.7,158.1
2012-12-21T10:45:21,155.2,11.8,16.8759,6.3,83.9,989.6,1.1,2.8,144.3,144.9
2012-12-21T10:50:21,125.7,12.1,13.6240,6.5,83.1,989.6,1.1,1.2,131.9,132.9
2012-12-21T10:55:21,108.4,11.4,11.7835,6.5,83.1,989.6,1.1,0.4,115.2,116.3
2012-12-21T11:00:21,100.1,11.3,10.8546,6.7,83.0,989.6,1.1,0.3,117.9,118.8
2012-12-21T11:05:21,86.9,10.8,9.4267,6.5,83.0,989.5,1.1,0.2,100.4,101.0
