Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-12-20T10:40:15,22.7,4.9,0.8391,3.9,86.0,989.1,18.8,0.0,28.0,28.3
2012-12-20T10:45:15,31.2,5.0,1.1929,3.9,85.6,989.1,18.8,0.1,37.4,37.9
2012-12-20T10:50:15,33.8,5.2,1.2934,3.9,85.9,989.3,18.8,0.1,41.1,41.8
2012-12-20T10:55:15,29.6,5.1,1.1089,3.9,85.9,989.2,18.8,0.1,35.7,36.2
2012-12-20T11:00:15,32.7,5.2,1.2329,3.9,85.4,989.2,18.9,0.1,40.2,40.8
2012-12-20T11:05:15,35.3,5.1,1.3478,3.9,85.2,989.4,18.9,0.1,44.0,44.6
2012-12-20T11:10:15,33.4,5.2,1.2646,3.9,85.0,989.6,18.9,0.2,41.2,41.8
2012-12-20T11:15:15,37.6,5.2,1.4652,3.9,85.2,989.6,18.9,0.2,44.7,45.4
2012-12-20T11:20:15,39.2,5.2,1.5284,4.0,85.3,989.6,18.9,0.1,46.9,47.7
2012-12-20T11:25:15,37.7,5.4,1.4740,4.0,85.7,989.7,18.9,0.2,44.2,44.9
2012-12-20T11:30:15,37.7,5.5,1.4641,4.1,85.9,989.7,19.0,0.2,45.6,46.3
2012-12-20T11:35:15,33.2,5.6,1.2778,4.3,85.9,989.8,19.0,0.2,39.9,40.5
2012-12-20T11:40:15,31.9,5.7,1.2182,4.4,85.8,989.9,19.1,0.2,39.2,39.8
2012-12-20T11:45:15,29.1,5.7,1.1177,4.4,85.0,990.0,19.2,0.1,34.9,35.4
2012-12-20T11:50:15,30.5,5.7,1.1818,4.4,84.3,990.1,19.2,0.1,37.3,37.8
2012-12-20T11:55:15,34.8,5.7,1.3709,4.4,84.4,990.0,19.3,0.1,41.0,41.6
2012-12-20T12:00:15,35.5,5.7,1.3973,4.3,85.9,989.9,19.4,0.1,42.6,43.3
