Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-12-20T10:40:05,22.8,4.5,1.6306,3.9,86.1,989.1,18.8,0.0,28.0,28.3
2012-12-20T10:45:05,31.1,4.7,2.2351,3.9,85.4,989.1,18.8,0.1,37.1,37.6
2012-12-20T10:50:05,34.0,4.7,2.4375,3.9,86.0,989.2,18.8,0.1,41.2,41.8
2012-12-20T10:55:05,29.3,4.7,2.0850,3.9,85.9,989.2,18.8,0.1,35.4,35.9
2012-12-20T11:00:05,32.8,4.7,2.3404,3.9,85.1,989.3,18.9,0.1,40.5,41.1
2012-12-20T11:05:05,35.8,4.7,2.5632,3.9,85.2,989.4,18.9,0.2,44.4,45.0
2012-12-20T11:10:05,33.9,4.7,2.4154,3.9,85.2,989.6,18.9,0.2,41.8,42.4
2012-12-20T11:15:05,37.6,4.8,2.7214,3.9,85.1,989.6,18.9,0.1,44.4,45.1
2012-12-20T11:20:05,39.2,4.8,2.8474,4.0,85.3,989.6,18.9,0.1,46.9,47.6
2012-12-20T11:25:05,37.4,4.9,2.7137,4.0,85.8,989.7,18.9,0.1,43.9,44.6
2012-12-20T11:30:05,37.8,5.0,2.7361,4.1,85.7,989.7,19.0,0.1,45.6,46.3
2012-12-20T11:35:05,33.0,5.2,2.3996,4.3,86.0,989.8,19.0,0.2,39.9,40.5
2012-12-20T11:40:05,32.2,5.2,2.3325,4.4,86.0,989.9,19.1,0.2,39.4,40.1
2012-12-20T11:45:05,29.2,5.2,2.1226,4.4,85.3,990.0,19.2,0.1,35.1,35.6
2012-12-20T11:50:05,30.7,5.2,2.2397,4.4,83.8,990.1,19.2,0.1,37.4,37.9
2012-12-20T11:55:05,34.3,5.2,2.5234,4.4,84.2,990.0,19.3,0.1,40.6,41.2
2012-12-20T12:00:05,35.2,5.2,2.5807,4.3,86.0,990.0,19.4,0.2,42.4,43.1
2012-12-20T12:05:05,30.8,5.2,2.2481,4.3,86.4,990.1,19.5,0.2,38.5,39.0
2012-12-20T12:10:05,31.4,5.0,2.3141,4.3,83.4,990.0,19.6,0.1,38.2,38.6
2012-12-20T12:15:05,27.1,5.1,1.9798,4.3,86.1,990.1,19.7,0.2,32.7,33.1
2012-12-20T12:20:05,24.4,5.0,1.7920,4.3,85.1,990.4,19.8,0.1,29.5,30.0
2012-12-20T12:25:05,24.0,5.0,1.7797,4.3,86.0,990.6,19.9,0.2,28.8,29.1
2012-12-20T12:30:05,24.7,5.0,1.8088,4.3,86.1,990.5,20.0,0.2,30.5,30.9
2012-12-20T12:35:05,24.3,5.0,1.7730,4.2,85.2,990.5,20.1,0.1,29.8,30.1
2012-12-20T12:40:05,24.5,5.1,1.8076,4.3,86.8,990.6,20.2,0.2,29.6,29.9
2012-12-20T12:45:05,24.9,4.9,1.8327,4.3,85.3,990.6,20.4,0.1,29.8,30.1
2012-12-20T12:55:05,21.7,4.6,1.6292,3.9,85.3,990.8,20.7,0.1,24.8,25.0
2012-12-20T13:05:05,20.6,4.5,1.5417,3.8,85.4,990.9,21.0,0.1,24.9,25.1
2012-12-20T13:10:05,21.6,4.4,1.6182,3.8,86.4,990.9,21.2,0.1,25.5,25.7
2012-12-20T13:15:05,20.9,4.3,1.5563,3.7,86.7,990.9,21.3,0.1,24.4,24.7
2012-12-20T13:20:05,20.4,4.3,1.5144,3.7,86.8,991.1,21.5,0.1,24.2,24.5
2012-12-20T13:25:05,21.6,4.4,1.6263,3.7,86.6,991.0,21.7,0.2,26.1,26.3
2012-12-20T13:55:05,23.9,3.6,1.7329,3.3,86.7,991.2,23.4,0.1,27.3,27.7
2012-12-20T14:00:05,37.9,4.0,2.7233,3.1,86.6,991.2,23.6,0.1,46.9,47.4
2012-12-20T14:05:05,27.0,3.9,1.9158,3.1,87.4,991.3,23.6,0.1,31.3,31.5
