Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-12-20T10:40:02,22.8,4.5,0.8035,3.9,86.1,989.1,18.8,0.0,28.0,28.3
2012-12-20T10:45:02,31.0,4.6,1.1519,3.9,85.4,989.1,18.8,0.1,37.1,37.6
2012-12-20T10:50:02,34.0,4.6,1.2762,3.9,86.0,989.2,18.8,0.1,41.2,41.8
2012-12-20T10:55:02,29.2,4.6,1.0675,3.9,85.9,989.2,18.8,0.1,35.4,35.9
2012-12-20T11:00:02,32.9,4.6,1.2187,3.9,85.1,989.3,18.9,0.1,40.5,41.1
2012-12-20T11:05:02,35.9,4.6,1.3503,3.9,85.2,989.4,18.9,0.2,44.4,45.0
2012-12-20T11:10:02,33.9,4.6,1.2635,3.9,85.2,989.6,18.9,0.2,41.8,42.4
2012-12-20T11:15:02,37.5,4.6,1.4374,3.9,85.1,989.6,18.9,0.1,44.4,45.1
2012-12-20T11:20:02,39.3,4.7,1.5155,4.0,85.3,989.6,18.9,0.1,46.9,47.6
2012-12-20T11:25:02,37.3,4.8,1.4319,4.0,85.8,989.7,18.9,0.1,43.9,44.6
2012-12-20T11:30:02,37.8,4.9,1.4501,4.1,85.7,989.7,19.0,0.1,45.6,46.3
2012-12-20T11:35:02,33.1,5.0,1.2465,4.3,86.0,989.8,19.0,0.2,39.9,40.5
2012-12-20T11:40:02,32.2,5.1,1.2053,4.4,86.0,989.9,19.1,0.2,39.4,40.1
2012-12-20T11:45:02,29.3,5.1,1.0804,4.4,85.3,990.0,19.2,0.1,35.1,35.6
2012-12-20T11:50:02,30.8,5.1,1.1493,4.4,83.8,990.1,19.2,0.1,37.4,37.9
2012-12-20T11:55:02,34.2,5.1,1.3020,4.4,84.2,990.0,19.3,0.1,40.6,41.2
2012-12-20T12:00:02,35.2,5.1,1.3415,4.3,86.0,990.0,19.4,0.2,42.4,43.1
2012-12-20T12:05:02,31.0,5.1,1.1505,4.3,86.4,990.1,19.5,0.2,38.5,39.0
2012-12-20T12:10:02,31.4,5.0,1.1842,4.3,83.4,990.0,19.6,0.1,38.2,38.6
2012-12-20T12:15:02,27.1,5.0,0.9885,4.3,86.1,990.1,19.7,0.2,32.7,33.1
2012-12-20T12:20:02,24.3,4.9,0.8772,4.3,85.1,990.4,19.8,0.1,29.5,30.0
2012-12-20T12:25:02,24.0,4.9,0.8686,4.3,86.0,990.6,19.9,0.2,28.8,29.1
2012-12-20T12:30:02,24.7,5.0,0.8907,4.3,86.1,990.5,20.0,0.2,30.5,30.9
