Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-12-20T10:40:09,22.8,4.5,1.7775,3.9,85.9,989.1,18.8,0.0,28.0,28.3
2012-12-20T10:45:09,31.2,4.6,2.5424,3.9,85.4,989.1,18.8,0.1,37.3,37.8
2012-12-20T10:50:09,34.0,4.7,2.7840,3.9,85.8,989.3,18.8,0.1,41.2,41.8
2012-12-20T10:55:09,29.5,4.7,2.3686,3.9,85.9,989.2,18.8,0.1,35.6,36.1
2012-12-20T11:00:09,32.8,4.7,2.6541,3.9,85.2,989.2,18.9,0.1,40.3,40.9
2012-12-20T11:05:09,35.6,4.7,2.9153,3.9,85.1,989.4,18.9,0.1,44.2,44.8
2012-12-20T11:10:09,33.7,4.7,2.7380,3.9,85.0,989.6,18.9,0.2,41.5,42.1
2012-12-20T11:15:09,37.6,4.7,3.1385,3.9,85.2,989.6,18.9,0.2,44.6,45.2
2012-12-20T11:20:09,39.1,4.7,3.2919,4.0,85.4,989.6,18.9,0.1,46.9,47.7
2012-12-20T11:25:09,37.5,4.9,3.1413,4.0,85.7,989.7,18.9,0.2,44.0,44.8
2012-12-20T11:30:09,37.7,5.0,3.1446,4.1,85.8,989.7,19.0,0.2,45.6,46.3
2012-12-20T11:35:09,33.1,5.1,2.7291,4.3,85.8,989.8,19.0,0.2,39.9,40.5
2012-12-20T11:40:09,32.1,5.2,2.6207,4.4,85.9,989.9,19.1,0.2,39.3,40.0
2012-12-20T11:45:10,29.1,5.2,2.3720,4.4,84.9,990.0,19.2,0.1,35.0,35.5
2012-12-20T11:50:09,30.7,5.2,2.5092,4.4,84.1,990.1,19.2,0.1,37.4,37.9
2012-12-20T11:55:09,34.4,5.2,2.8750,4.4,84.2,990.0,19.3,0.1,40.8,41.4
2012-12-20T12:00:09,35.4,5.2,2.9460,4.3,86.0,989.9,19.4,0.1,42.5,43.2
2012-12-20T12:05:09,30.7,5.1,2.5077,4.3,86.5,990.1,19.5,0.2,38.2,38.7
2012-12-20T12:10:09,31.4,5.0,2.5965,4.3,83.6,990.1,19.6,0.1,38.4,38.8
2012-12-20T12:15:09,27.1,5.0,2.1813,4.3,85.5,990.1,19.7,0.2,32.8,33.2
2012-12-20T12:20:09,24.5,5.0,1.9524,4.3,85.2,990.4,19.8,0.1,29.6,30.0
2012-12-20T12:25:09,24.1,4.9,1.9255,4.3,85.9,990.6,19.9,0.2,28.9,29.2
2012-12-20T12:30:09,24.6,5.0,1.9548,4.3,86.3,990.5,20.0,0.2,30.3,30.7
2012-12-20T12:35:09,24.2,5.0,1.9262,4.2,85.3,990.5,20.1,0.1,29.8,30.1
2012-12-20T12:40:10,24.7,5.0,1.9831,4.3,86.8,990.6,20.2,0.2,29.5,29.9
2012-12-20T12:45:10,25.0,4.9,1.9931,4.3,85.3,990.6,20.4,0.2,29.9,30.2
2012-12-20T12:55:09,22.1,4.6,1.7494,3.9,85.6,990.8,20.7,0.1,25.2,25.5
2012-12-20T13:05:09,20.7,4.4,1.6142,3.8,85.7,990.9,21.0,0.1,24.9,25.2
2012-12-20T13:10:09,21.6,4.3,1.7107,3.8,86.5,990.9,21.2,0.1,25.7,25.9
2012-12-20T13:15:09,21.0,4.3,1.6587,3.7,86.4,991.0,21.3,0.1,24.5,24.8
