Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:38,72.5,15.7,3.6456,17.9,52.1,822.9,0.0,266.0,118.3,66.6
2012-08-14T06:30:38,107.0,16.8,5.3997,19.2,50.3,823.2,0.0,308.9,153.6,82.2
2012-08-14T06:45:37,149.0,19.0,7.8627,20.4,45.7,823.6,0.0,359.2,197.6,95.9
2012-08-14T07:00:37,203.3,21.9,11.4155,22.2,38.1,823.5,0.0,436.2,255.5,110.4
2012-08-14T07:15:38,260.0,25.1,15.5783,22.5,38.8,822.8,0.0,491.8,308.3,123.3
2012-08-14T07:30:37,315.6,28.7,19.6658,24.5,32.1,823.0,0.0,532.0,357.4,134.0
2012-08-14T07:45:37,370.6,32.6,23.7513,25.6,33.8,822.8,0.0,563.1,404.5,144.6
2012-08-14T08:00:37,429.3,34.0,28.3486,24.8,39.7,823.1,0.0,591.1,456.0,154.9
2012-08-14T08:15:38,486.6,37.5,32.4618,26.9,28.5,823.2,0.0,617.1,503.1,165.1
2012-08-14T08:30:38,541.9,41.4,36.3026,27.7,28.5,823.1,0.0,641.1,549.0,171.6
2012-08-14T08:45:38,594.9,43.7,40.0409,28.6,31.0,823.1,0.0,660.5,589.8,177.3
2012-08-14T09:00:37,650.7,46.8,43.6546,29.6,26.9,823.1,0.0,683.9,635.6,184.5
2012-08-14T09:15:38,702.9,46.6,47.5020,29.6,25.9,822.7,0.0,700.5,677.6,189.8
2012-08-14T09:30:38,747.1,47.3,50.5610,29.6,26.4,822.5,0.0,711.1,710.2,194.3
2012-08-14T09:45:38,790.4,48.9,53.4349,30.0,23.8,822.7,0.0,724.4,744.7,195.8
2012-08-14T10:00:37,834.2,51.3,56.0384,30.8,21.6,822.2,0.0,741.7,780.4,200.3
2012-08-14T10:15:37,871.5,52.5,58.4514,30.8,20.4,822.3,0.0,753.0,809.9,203.4
2012-08-14T10:30:38,903.0,53.5,60.4333,31.2,20.4,822.3,0.0,758.3,833.7,206.4
2012-08-14T10:45:38,949.6,55.6,62.7917,32.3,21.0,821.6,0.0,782.3,871.3,212.4
2012-08-14T11:00:38,957.9,55.1,63.7129,31.8,20.0,821.8,0.0,763.5,871.2,215.5
2012-08-14T11:15:38,1015.4,56.8,67.2087,32.3,19.4,821.8,0.0,792.9,918.3,226.1
2012-08-14T12:00:38,1032.8,58.1,67.7824,33.6,16.2,821.0,0.0,784.7,927.5,232.1
2012-08-14T12:15:38,1018.7,58.0,66.4857,33.9,15.6,820.5,0.0,785.3,914.9,220.3
2012-08-14T12:30:38,1018.3,57.8,66.7224,34.3,13.5,820.3,0.0,783.3,921.1,234.0
2012-08-14T12:45:38,1014.7,61.1,65.5600,34.9,12.4,820.4,0.0,791.0,920.5,233.6
2012-08-14T13:00:38,1003.6,62.1,64.5059,35.0,11.9,820.5,0.0,820.1,909.8,209.3
2012-08-14T13:15:38,984.3,54.6,65.0804,36.0,12.7,820.3,0.0,811.4,888.5,202.5
2012-08-14T13:30:38,957.1,56.7,62.5653,36.6,8.1,820.3,0.0,811.3,868.4,201.7
2012-08-14T13:45:38,950.4,56.4,62.1603,37.0,8.2,820.1,0.0,824.0,860.8,199.4
2012-08-14T14:00:38,899.3,53.2,59.4722,36.2,7.9,819.9,0.0,806.3,821.2,189.5
2012-08-14T14:15:38,859.0,53.3,56.8164,36.8,7.2,819.7,0.0,786.6,783.6,191.0
2012-08-14T14:30:38,829.8,56.6,53.9497,36.3,8.6,819.6,0.0,782.5,767.8,201.3
2012-08-14T14:45:38,789.0,55.4,51.3653,37.2,7.7,819.5,0.0,762.8,744.0,207.8
2012-08-14T15:00:38,274.5,50.8,17.0654,36.6,8.3,819.3,0.0,40.4,250.5,234.0
2012-08-14T15:15:38,708.3,48.8,47.0946,35.3,11.4,819.8,0.0,721.1,681.9,224.9
2012-08-14T15:30:38,166.7,39.1,10.0389,33.3,11.8,819.2,0.0,-2.0,153.8,165.6
2012-08-14T15:45:37,527.4,37.7,35.5397,33.2,12.9,819.4,0.0,601.4,523.0,189.5
2012-08-14T16:00:38,462.5,43.5,29.8377,34.7,13.2,819.7,0.0,566.0,467.8,179.7
2012-08-14T16:30:38,181.2,39.2,11.1226,34.0,13.9,819.9,0.0,83.3,172.7,149.3
2012-08-14T16:45:38,118.8,36.3,6.8428,32.5,15.5,819.7,0.0,24.4,118.1,116.6
2012-08-14T17:00:38,105.0,32.1,5.9031,31.1,17.0,819.5,0.0,21.1,103.0,103.7
