Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:03,71.3,15.1,2.8754,17.8,52.5,823.4,0.0,266.0,117.1,65.9
2012-08-14T06:30:03,105.8,16.3,5.1374,19.1,50.3,823.2,0.0,308.3,152.3,81.5
2012-08-14T06:45:03,147.6,18.9,8.9091,20.5,45.8,823.0,0.0,357.2,196.3,95.2
2012-08-14T07:00:03,201.0,22.3,15.0290,22.1,38.5,823.3,0.0,431.5,253.0,109.6
2012-08-14T07:15:03,257.2,25.9,22.8057,22.4,40.0,823.4,0.0,488.4,305.2,123.3
2012-08-14T07:30:03,312.4,29.7,30.9449,24.4,32.6,822.8,0.0,530.0,354.9,133.2
2012-08-14T07:45:03,369.0,33.6,39.4943,25.6,32.8,823.1,0.0,562.0,402.6,144.2
2012-08-14T08:00:03,427.5,35.2,48.7623,24.8,39.9,823.1,0.0,591.1,454.8,154.5
2012-08-14T08:15:03,484.8,39.9,56.8706,27.0,28.6,822.7,0.0,617.8,501.9,165.1
2012-08-14T08:30:03,540.3,42.6,64.7222,27.7,29.3,822.7,0.0,641.8,547.7,171.6
2012-08-14T08:45:03,593.0,45.3,71.7438,28.4,30.9,822.5,0.0,659.8,588.5,176.9
2012-08-14T09:00:03,649.4,48.6,78.5317,29.4,27.0,822.8,0.0,683.9,634.4,184.1
2012-08-14T09:15:03,701.6,49.4,85.3758,29.6,25.8,822.9,0.0,699.8,677.0,189.8
2012-08-14T09:30:03,744.1,49.7,90.8958,30.0,26.2,822.8,0.0,709.8,708.4,193.5
2012-08-14T09:45:03,790.2,51.2,95.9452,30.4,26.2,822.3,0.0,724.4,743.4,195.8
2012-08-14T10:00:03,832.3,53.9,99.6020,30.9,20.6,822.6,0.0,740.4,778.5,200.3
2012-08-14T10:15:03,869.5,52.7,104.5831,31.0,22.2,822.2,0.0,751.7,808.7,203.4
2012-08-14T10:30:03,902.9,55.1,106.9460,31.4,19.9,822.0,0.0,757.7,832.5,206.4
2012-08-14T10:45:03,952.0,58.2,110.3475,32.4,19.7,822.2,0.0,783.7,871.3,211.7
2012-08-14T11:00:03,960.6,55.9,112.9997,31.7,20.5,821.9,0.0,768.2,875.0,215.5
2012-08-14T11:15:03,1011.7,58.3,116.2839,32.0,19.4,821.3,0.0,787.5,912.6,225.3
2012-08-14T11:30:03,1045.2,61.3,117.6962,33.1,18.4,821.3,0.0,774.1,942.7,261.8
2012-08-14T12:00:03,1018.1,62.3,113.2473,33.9,16.3,821.3,0.0,767.0,911.1,231.3
2012-08-14T12:15:03,1023.6,61.6,113.9188,34.0,16.1,821.1,0.0,790.7,919.9,220.3
2012-08-14T12:30:03,1014.5,61.2,113.6162,34.2,14.0,820.5,0.0,779.9,917.4,232.1
2012-08-14T12:45:03,1016.2,64.8,110.7045,35.1,12.7,820.8,0.0,786.0,915.5,232.8
2012-08-14T13:00:03,1008.3,66.5,107.8281,35.3,12.2,820.7,0.0,816.4,906.0,209.3
2012-08-14T13:15:03,984.0,67.7,104.7881,36.1,12.5,820.4,0.0,812.0,888.5,202.5
2012-08-14T13:30:03,957.8,67.6,102.1345,36.5,8.4,820.5,0.0,813.0,870.9,202.1
2012-08-14T13:45:03,942.7,66.8,101.2796,37.0,8.9,820.2,0.0,815.4,854.5,200.2
2012-08-14T14:00:03,903.9,64.4,99.1720,36.3,7.9,820.1,0.0,816.7,830.7,189.5
2012-08-14T14:15:03,857.4,63.9,94.3905,36.8,7.4,820.1,0.0,784.9,782.9,190.3
2012-08-14T14:30:03,831.6,61.0,93.1514,36.0,8.4,819.9,0.0,779.9,769.7,204.0
2012-08-14T14:45:03,783.8,62.2,87.5598,37.6,7.9,819.9,0.0,756.8,737.7,207.8
2012-08-14T15:15:03,708.7,55.2,82.4192,35.2,10.0,819.8,0.0,725.7,683.7,223.0
2012-08-14T15:30:03,168.9,42.2,13.1209,33.5,11.6,819.7,0.0,-2.3,155.1,167.5
2012-08-14T15:45:03,532.4,40.1,64.0134,33.0,12.7,819.7,0.0,599.4,526.2,190.3
2012-08-14T16:00:03,463.7,48.0,51.9341,35.2,12.9,819.6,0.0,563.3,467.1,179.7
2012-08-14T16:15:03,196.4,43.0,16.3140,34.2,13.2,819.3,0.0,172.8,221.6,146.6
2012-08-14T16:45:03,170.3,38.8,13.1068,32.6,15.4,819.9,0.0,109.0,152.6,121.2
2012-08-14T17:00:03,102.6,33.4,6.0717,31.1,16.8,820.0,0.0,14.4,101.1,103.7
2012-08-14T17:15:03,173.5,33.3,12.5293,31.1,18.4,819.8,0.0,239.1,202.9,139.4
2012-08-14T17:30:03,106.3,32.9,6.5492,31.1,18.3,819.8,0.0,15.0,123.7,129.6
2012-08-14T17:45:03,115.4,32.1,6.4396,31.2,17.0,820.0,0.0,259.9,152.6,108.3
2012-08-14T18:00:03,63.3,30.1,2.8586,30.5,18.1,819.7,0.0,92.0,78.5,74.9
2012-08-15T06:15:03,64.6,22.6,3.1007,23.9,25.0,820.3,0.0,113.9,89.3,70.8
2012-08-15T06:30:03,91.1,23.4,5.1945,24.1,25.0,820.9,0.0,121.6,117.6,92.1
2012-08-15T06:45:03,125.6,24.4,8.2757,24.5,24.7,820.5,0.0,158.7,156.0,114.1
2012-08-15T07:00:03,162.5,26.0,12.1614,25.2,23.7,820.7,0.0,190.9,195.0,135.1
2012-08-15T07:15:03,205.0,27.6,17.3085,25.5,22.9,821.3,0.0,229.7,237.7,155.2
2012-08-15T07:30:03,251.2,29.4,23.5281,26.1,21.8,821.3,0.0,262.5,283.0,176.1
2012-08-15T07:45:03,299.7,31.2,30.4111,26.7,20.8,820.9,0.0,292.3,329.5,197.0
2012-08-15T08:00:03,350.6,33.8,37.7280,27.4,20.0,820.6,0.0,325.4,372.2,206.5
2012-08-15T08:15:03,402.5,36.2,45.3499,28.0,18.8,821.0,0.0,358.9,422.5,230.5
2012-08-15T08:30:03,474.0,39.1,56.1253,28.9,17.6,820.7,0.0,411.4,487.9,249.9
2012-08-15T08:45:03,525.3,42.0,63.1788,29.6,16.7,821.0,0.0,429.5,527.5,264.0
2012-08-15T09:00:03,569.1,44.3,68.9091,30.1,16.3,821.3,0.0,446.2,563.9,273.8
2012-08-15T09:15:03,627.7,49.4,75.5408,31.6,14.5,821.3,0.0,480.9,611.6,284.8
2012-08-15T09:30:03,678.6,52.6,80.8388,32.8,14.2,820.8,0.0,501.0,653.0,299.2
2012-08-15T09:45:03,722.2,53.6,86.0601,32.7,21.4,821.3,0.0,505.2,686.9,314.4
2012-08-15T10:00:03,755.5,53.2,90.3135,32.4,21.9,820.8,0.0,518.2,725.7,330.3
2012-08-15T10:15:03,806.6,54.0,96.5098,33.0,20.1,821.1,0.0,547.6,766.5,335.6
2012-08-15T10:30:03,834.5,55.9,98.5330,33.5,18.5,821.2,0.0,545.9,794.7,353.8
2012-08-15T11:00:03,871.2,49.3,107.3446,32.9,15.1,820.5,0.0,545.4,831.0,366.7
2012-08-15T11:45:03,964.3,52.7,116.1230,33.7,13.3,820.7,0.0,567.4,918.8,418.3
2012-08-15T12:00:03,949.9,58.9,109.7822,35.3,11.9,820.8,0.0,562.0,889.2,397.7
2012-08-15T12:15:03,337.6,50.5,36.4220,34.8,11.5,820.7,0.0,1.0,337.2,347.6
2012-08-15T13:00:03,322.3,49.2,34.5537,34.2,12.5,820.2,0.0,-1.3,330.3,341.5
2012-08-15T13:15:03,326.6,47.4,35.6054,34.2,12.1,820.5,0.0,12.7,338.5,334.7
2012-08-15T13:30:03,354.5,44.0,39.5737,33.3,12.9,820.0,0.0,4.3,368.6,371.2
2012-08-15T13:45:03,280.7,45.2,29.2355,33.3,12.5,820.4,0.0,0.0,295.8,309.6
2012-08-15T14:00:03,284.8,41.6,30.1637,33.3,12.3,820.1,0.0,0.3,294.5,305.8
2012-08-15T14:15:03,312.6,43.0,34.0860,33.6,12.2,820.0,0.0,3.3,307.1,314.9
2012-08-15T14:30:03,296.0,48.9,30.9854,34.7,11.8,820.4,0.0,1.7,269.4,277.7
2012-08-15T14:45:03,712.5,55.8,83.9209,35.3,11.9,820.5,0.0,507.9,706.5,357.5
2012-08-15T15:00:03,268.8,44.5,26.7483,33.1,12.3,820.1,0.0,3.3,277.0,286.9
2012-08-15T15:15:03,193.9,38.9,17.1847,32.6,12.5,819.7,0.0,-1.3,195.3,210.9
2012-08-15T15:30:03,180.5,37.6,15.7389,32.3,12.6,819.9,0.0,0.7,192.8,204.8
2012-08-15T15:45:03,505.0,38.1,60.8104,32.6,12.6,820.1,0.0,490.5,510.6,242.8
2012-08-15T16:00:03,155.5,39.8,13.3500,32.6,12.8,820.3,0.0,-0.7,132.5,144.8
2012-08-15T16:15:03,76.2,35.7,4.5682,32.0,13.7,820.4,0.0,-1.7,58.4,68.0
2012-08-15T16:30:03,97.8,30.3,6.6483,28.3,23.2,821.8,0.0,7.4,79.8,78.7
2012-08-15T16:45:03,130.2,30.9,9.9511,28.0,23.9,821.8,0.0,-0.7,156.4,160.7
