Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:53,73.1,16.5,3.6114,17.9,51.7,823.0,0.0,268.1,118.3,67.0
2012-08-14T06:30:53,107.6,17.9,5.0751,19.3,50.2,823.4,0.0,308.9,153.6,82.2
2012-08-14T06:45:53,149.6,20.0,7.0318,20.4,46.4,823.6,0.0,358.5,197.6,95.9
2012-08-14T07:00:53,204.3,23.1,9.9374,22.2,38.1,823.3,0.0,437.9,256.7,110.4
2012-08-14T07:15:53,260.4,26.2,13.6070,22.6,37.8,822.9,0.0,491.8,308.3,123.3
2012-08-14T07:30:52,317.2,29.6,18.0052,24.6,32.0,823.3,0.0,534.0,358.6,134.0
2012-08-14T07:45:53,371.1,33.0,21.6221,25.6,33.0,822.8,0.0,563.1,405.1,144.6
2012-08-14T08:00:53,429.3,34.9,25.6281,24.8,37.9,823.1,0.0,590.8,456.7,155.2
2012-08-14T08:15:53,487.3,38.4,29.3463,26.9,28.1,823.2,0.0,617.8,503.8,165.5
2012-08-14T08:30:53,541.6,42.0,32.7959,27.8,27.6,823.1,0.0,639.1,548.3,171.9
2012-08-14T08:45:53,597.4,43.9,36.2893,28.6,30.3,823.1,0.0,663.2,592.3,177.3
2012-08-14T09:00:53,652.4,47.4,39.5623,29.6,27.7,823.0,0.0,685.9,636.9,184.5
2012-08-14T09:15:53,703.4,48.5,42.8419,29.7,25.8,822.6,0.0,699.8,678.3,189.8
2012-08-14T09:30:53,747.7,49.3,45.4814,29.4,24.0,822.6,0.0,711.1,710.9,193.9
2012-08-14T09:45:53,790.5,50.5,47.9617,30.0,24.6,822.6,0.0,725.1,744.7,195.8
2012-08-14T10:00:53,836.1,53.1,50.4649,30.9,21.5,822.3,0.0,742.4,781.0,200.3
2012-08-14T10:15:53,873.3,53.6,52.6935,30.8,20.2,822.2,0.0,753.7,809.9,203.7
2012-08-14T10:30:53,904.6,54.2,54.3610,31.2,19.7,822.3,0.0,758.7,833.7,206.4
2012-08-14T10:45:53,950.2,56.2,56.6140,32.1,21.4,821.8,0.0,782.3,871.3,212.4
2012-08-14T11:00:53,959.3,56.3,57.0783,31.7,20.1,821.6,0.0,764.2,871.8,215.5
2012-08-14T11:15:53,1021.1,58.6,60.4168,32.4,19.4,821.8,0.0,795.6,920.8,226.8
2012-08-14T12:00:53,1034.0,60.2,60.5289,33.4,15.8,821.2,0.0,786.0,929.3,232.1
