Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:05,71.4,14.4,12.8100,17.8,52.4,823.0,0.0,266.0,117.1,66.2
2012-08-14T06:30:05,105.9,15.5,18.2433,19.1,50.3,823.1,0.0,308.9,152.3,81.5
2012-08-14T06:45:05,147.7,17.7,25.6333,20.5,46.0,823.5,0.0,357.8,196.3,95.2
2012-08-14T07:00:05,201.1,20.7,36.0499,22.1,39.2,823.5,0.0,432.2,253.0,109.6
2012-08-14T07:15:05,257.3,23.9,47.8341,22.4,39.8,822.9,0.0,488.4,305.8,123.3
2012-08-14T07:30:05,312.6,27.5,59.5818,24.4,32.3,823.3,0.0,529.3,354.9,133.2
2012-08-14T07:45:05,369.1,31.2,71.6285,25.6,33.1,822.8,0.0,562.7,403.3,144.2
2012-08-14T08:00:05,427.8,33.3,84.4892,24.8,40.2,822.9,0.0,591.4,455.4,154.5
2012-08-14T08:15:05,485.1,37.3,96.0154,27.0,27.7,823.1,0.0,618.1,502.5,165.1
2012-08-14T08:30:05,540.4,40.5,107.0598,27.7,28.5,822.6,0.0,641.8,547.7,171.6
2012-08-14T08:45:05,593.1,43.0,117.2556,28.4,30.9,822.9,0.0,659.8,588.5,176.9
2012-08-14T09:00:05,649.0,46.4,127.5906,29.4,27.2,823.1,0.0,683.9,634.4,184.1
2012-08-14T09:15:05,701.5,47.7,137.8706,29.6,25.5,823.0,0.0,699.2,677.0,189.8
2012-08-14T09:30:05,744.3,48.0,146.1499,30.0,26.8,822.3,0.0,709.4,708.3,193.5
2012-08-14T09:45:05,790.2,49.3,154.4456,30.4,26.4,822.7,0.0,724.4,743.4,195.8
