Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:09,71.5,14.5,6.5790,17.9,52.4,823.0,0.0,266.0,117.1,66.2
2012-08-14T06:30:10,106.1,15.7,9.1152,19.2,50.2,823.5,0.0,309.3,152.3,81.5
2012-08-14T06:45:09,147.7,17.9,12.4838,20.5,46.0,823.5,0.0,357.8,196.3,95.2
2012-08-14T07:00:09,201.4,21.0,17.2019,22.1,39.2,823.5,0.0,432.2,253.0,109.6
2012-08-14T07:15:10,257.6,24.4,22.6876,22.4,39.8,823.3,0.0,488.4,305.8,123.3
2012-08-14T07:30:09,313.1,28.1,28.1730,24.4,32.3,823.3,0.0,529.3,354.9,133.2
2012-08-14T07:45:09,369.2,31.7,33.8848,25.6,33.1,822.8,0.0,562.7,403.3,144.2
2012-08-14T08:00:09,428.1,33.5,40.3631,24.9,40.2,822.9,0.0,591.4,455.4,154.5
2012-08-14T08:15:10,485.7,37.4,46.1137,27.0,27.8,823.1,0.0,618.1,502.5,165.1
2012-08-14T08:30:10,540.9,40.2,51.8016,27.8,27.8,823.1,0.0,641.8,548.3,171.6
2012-08-14T08:45:10,593.3,42.6,57.2094,28.4,30.4,823.0,0.0,659.8,589.2,176.9
2012-08-14T09:00:10,648.8,46.0,62.8161,29.4,26.9,822.8,0.0,683.2,635.0,184.1
2012-08-14T09:15:09,701.5,46.8,68.7605,29.6,25.5,823.0,0.0,699.2,677.0,189.8
2012-08-14T09:30:10,744.7,47.1,73.1339,30.0,24.4,822.8,0.0,709.1,708.3,193.9
2012-08-14T09:45:10,789.7,48.7,77.6490,30.3,25.9,822.5,0.0,725.1,743.4,195.8
2012-08-14T10:00:09,832.1,51.2,81.7922,30.8,20.7,822.4,0.0,740.4,778.5,200.3
2012-08-14T10:15:09,870.3,51.2,85.9073,31.0,23.0,822.1,0.0,752.0,808.7,203.4
2012-08-14T10:30:10,903.1,52.3,88.7737,31.3,19.9,822.4,0.0,758.3,832.5,206.4
2012-08-14T10:45:09,951.5,55.6,93.0815,32.5,19.4,822.2,0.0,783.7,872.6,212.4
2012-08-14T11:00:09,959.6,54.3,93.7781,31.7,20.5,822.0,0.0,768.2,875.0,215.5
2012-08-14T11:15:09,1013.2,56.4,99.0964,32.0,19.8,821.9,0.0,789.5,913.9,225.3
2012-08-14T11:30:10,1046.5,58.6,100.1208,33.1,18.9,821.7,0.0,776.1,946.5,263.3
2012-08-14T11:45:10,1020.1,56.7,98.5891,33.7,17.7,821.6,0.0,759.3,923.8,251.9
2012-08-14T12:00:09,1022.5,59.1,98.4336,33.7,15.8,821.2,0.0,768.6,912.4,231.3
2012-08-14T12:15:09,1022.3,59.2,98.7471,34.1,15.8,820.7,0.0,790.7,919.9,220.3
2012-08-14T12:30:09,1011.7,58.9,97.5345,34.3,14.0,820.4,0.0,779.6,917.4,232.8
2012-08-14T12:45:10,1016.0,62.3,96.6256,35.1,12.9,820.3,0.0,788.6,918.6,233.6
2012-08-14T13:00:10,1009.4,62.5,96.1785,35.2,12.4,820.2,0.0,820.4,908.6,209.3
2012-08-14T13:15:10,983.4,61.3,94.0403,36.1,12.6,820.0,0.0,812.4,889.7,202.5
2012-08-14T13:30:10,957.3,61.4,91.0488,36.5,8.4,820.0,0.0,812.4,870.2,202.1
2012-08-14T13:45:10,944.9,62.3,89.7410,37.0,8.7,819.7,0.0,816.0,855.2,199.8
2012-08-14T14:00:09,901.9,60.2,85.9777,36.3,8.0,820.3,0.0,815.3,829.4,189.5
2012-08-14T14:15:10,857.0,60.2,81.1160,36.8,7.1,819.5,0.0,784.9,782.9,190.3
2012-08-14T14:30:10,831.8,58.8,78.5484,36.1,8.6,819.4,0.0,781.9,770.3,203.2
2012-08-14T14:45:09,785.1,59.2,71.7146,37.5,8.0,819.8,0.0,757.5,738.3,207.4
2012-08-14T15:15:09,709.0,52.2,66.2951,35.2,10.4,819.6,0.0,725.1,683.1,223.3
2012-08-14T15:30:10,168.3,40.1,16.9701,33.4,11.5,819.2,0.0,-2.3,155.1,167.1
2012-08-14T15:45:09,531.9,38.3,47.2484,33.0,12.7,819.6,0.0,599.4,525.5,190.7
2012-08-14T16:00:09,463.5,45.3,40.3040,35.1,13.0,819.6,0.0,564.0,467.1,179.7
2012-08-14T17:00:10,102.9,32.0,9.9233,31.1,16.8,819.6,0.0,15.4,101.1,103.7
2012-08-14T17:15:09,174.3,32.0,14.0622,31.2,18.4,819.8,0.0,248.4,206.6,140.2
2012-08-14T17:30:09,106.3,31.6,10.3253,31.1,18.3,819.6,0.0,15.7,123.7,129.6
2012-08-14T17:45:10,115.1,30.7,9.5128,31.2,17.0,819.5,0.0,259.2,152.0,107.5
2012-08-14T18:00:10,62.7,28.9,6.0137,30.5,17.9,820.1,0.0,91.3,78.5,74.1
2012-08-15T06:15:09,64.7,22.0,5.5149,23.9,25.1,820.3,0.0,113.9,89.9,71.2
2012-08-15T06:30:09,91.4,22.8,7.8242,24.1,25.1,820.9,0.0,121.9,118.2,92.1
2012-08-15T06:45:09,125.6,23.7,10.5625,24.5,24.8,820.7,0.0,158.7,156.6,114.1
2012-08-15T07:00:10,162.8,25.1,13.5307,25.2,23.7,821.1,0.0,190.9,195.6,135.4
2012-08-15T07:15:10,205.2,26.6,16.9522,25.5,23.1,821.3,0.0,230.0,238.4,156.0
2012-08-15T07:30:09,251.5,28.2,20.9727,26.1,21.8,821.2,0.0,263.2,283.6,176.5
2012-08-15T07:45:10,300.1,30.0,25.3886,26.7,20.9,820.7,0.0,292.6,329.5,197.0
2012-08-15T08:00:09,351.0,32.2,30.0540,27.4,20.0,821.2,0.0,325.4,328.2,167.4
2012-08-15T08:15:09,402.5,34.3,35.1986,28.0,18.8,821.1,0.0,358.9,422.5,230.5
2012-08-15T08:30:09,474.3,37.0,42.7032,29.0,17.7,821.0,0.0,411.4,487.9,249.9
2012-08-15T08:45:09,525.5,39.4,47.8519,29.6,16.7,821.0,0.0,430.1,528.1,264.0
2012-08-15T09:00:09,569.8,41.5,52.0993,30.2,16.3,821.2,0.0,446.1,563.9,273.8
2012-08-15T09:15:09,627.7,45.9,57.5220,31.6,14.7,821.0,0.0,480.2,611.6,284.8
2012-08-15T09:30:09,678.7,49.1,62.5784,32.7,14.5,821.3,0.0,501.6,653.0,299.2
2012-08-15T09:45:10,721.7,50.7,66.7255,32.8,21.4,821.1,0.0,505.6,686.9,315.2
2012-08-15T10:00:09,755.8,51.0,70.2864,32.4,22.5,821.0,0.0,518.9,725.7,330.3
2012-08-15T10:15:09,808.2,52.0,75.6269,33.0,20.3,821.2,0.0,547.6,767.2,335.6
2012-08-15T10:30:10,835.0,54.0,77.3792,33.6,16.4,820.9,0.0,546.2,794.7,353.0
2012-08-15T10:45:09,830.6,54.1,73.5810,33.3,15.5,820.9,0.0,547.5,793.3,339.3
2012-08-15T11:00:09,871.0,47.9,80.4469,33.0,15.4,820.6,0.0,545.1,830.9,366.7
2012-08-15T11:30:10,952.6,53.3,84.5522,35.3,12.8,820.8,0.0,404.6,729.1,398.5
2012-08-15T11:45:09,964.6,50.2,85.4268,33.8,12.9,820.1,0.0,567.4,919.4,418.3
2012-08-15T12:00:09,950.5,55.5,84.6549,35.3,11.8,820.3,0.0,562.7,889.8,397.7
2012-08-15T12:15:09,336.9,48.1,35.3223,34.8,11.2,820.1,0.0,0.7,336.6,347.6
2012-08-15T13:00:10,322.4,46.5,34.0110,34.2,12.6,820.7,0.0,-1.3,330.9,341.1
2012-08-15T13:15:10,325.0,45.3,33.6485,34.1,12.1,820.6,0.0,11.0,334.7,334.7
2012-08-15T13:30:09,356.9,42.3,37.6665,33.3,13.0,820.1,0.0,4.3,369.9,371.9
2012-08-15T13:45:09,280.5,43.9,29.3497,33.3,12.5,820.5,0.0,0.0,295.8,309.6
2012-08-15T14:00:10,284.9,40.6,29.6033,33.2,12.2,820.1,0.0,0.3,294.5,305.8
2012-08-15T14:15:09,313.0,41.2,32.5161,33.6,12.2,819.9,0.0,4.3,308.4,314.9
2012-08-15T14:30:09,297.3,47.0,30.6579,34.7,11.9,820.4,0.0,1.7,270.7,278.1
2012-08-15T14:45:09,712.1,53.0,63.4604,35.3,12.0,820.1,0.0,503.3,703.4,357.5
2012-08-15T15:00:09,269.4,43.0,28.2297,33.1,12.1,819.7,0.0,3.0,277.6,287.6
2012-08-15T15:15:10,192.7,38.2,20.2586,32.6,12.4,820.1,0.0,-1.3,194.1,208.6
2012-08-15T15:30:09,180.2,36.8,18.5718,32.3,12.6,819.8,0.0,0.7,192.8,204.8
2012-08-15T15:45:09,505.1,36.9,40.1973,32.6,12.6,820.2,0.0,491.2,513.1,243.9
2012-08-15T16:00:10,155.3,38.6,15.2623,32.6,12.9,819.9,0.0,-0.7,132.5,144.0
2012-08-15T16:15:10,75.4,34.5,7.0456,32.0,14.3,820.8,0.0,-1.7,58.4,67.3
2012-08-15T16:30:10,97.8,29.5,8.1334,28.3,23.2,821.9,0.0,23.1,87.3,80.2
2012-08-15T16:45:10,130.0,29.8,12.9781,28.0,24.0,821.4,0.0,-0.7,155.1,160.7
2012-08-15T17:00:09,176.5,29.1,14.5383,27.5,28.2,821.6,0.0,165.6,200.4,147.1
2012-08-15T17:15:10,137.6,28.6,12.2459,27.2,29.4,821.9,0.0,110.7,160.2,133.4
2012-08-15T17:30:10,127.5,27.6,10.3879,26.9,30.5,822.9,0.0,177.0,157.7,119.7
2012-08-15T17:45:09,66.1,26.0,6.8351,25.8,31.6,823.2,0.0,0.7,73.5,79.1
2012-08-16T06:15:09,65.4,13.6,6.2896,13.5,74.9,828.2,0.0,0.3,75.5,76.2
2012-08-16T06:30:09,81.8,14.1,7.9639,13.7,74.0,828.2,0.0,1.0,86.9,89.5
2012-08-16T06:45:09,81.7,13.9,8.7672,13.9,72.1,828.4,0.0,1.7,91.3,94.8
2012-08-16T07:00:09,132.7,15.2,13.9011,14.4,69.8,828.4,0.0,50.3,146.7,132.5
2012-08-16T07:15:10,227.7,18.4,19.8928,15.3,68.0,828.0,0.0,275.1,264.4,161.4
2012-08-16T07:30:09,276.9,20.9,24.3981,15.9,68.8,827.9,0.0,299.3,316.6,191.1
2012-08-16T08:00:09,272.1,22.3,28.5183,16.1,68.5,828.4,0.0,46.9,247.3,227.3
2012-08-16T08:15:09,418.6,26.0,37.4506,16.7,66.3,828.2,0.0,361.8,432.9,236.0
2012-08-16T08:30:09,459.4,30.0,42.5176,17.0,64.8,827.6,0.0,387.9,463.1,238.3
2012-08-16T08:45:09,539.9,31.9,51.6633,18.7,61.3,828.0,0.0,450.9,537.3,256.5
2012-08-16T09:00:09,564.4,34.9,53.4926,19.2,61.9,827.7,0.0,438.1,554.9,267.2
2012-08-16T09:15:09,618.9,35.4,59.3514,19.4,60.3,827.6,0.0,462.9,600.7,278.5
2012-08-16T09:30:09,673.0,37.3,64.9889,19.7,59.5,827.5,0.0,488.2,650.3,295.3
2012-08-16T09:45:09,706.6,40.6,68.1062,20.7,58.1,827.7,0.0,489.2,675.4,305.1
2012-08-16T10:00:09,801.4,44.2,75.6924,20.8,56.1,827.6,0.0,499.5,760.9,370.5
2012-08-16T10:30:10,361.3,38.4,39.4495,20.7,54.5,827.5,0.0,3.3,345.2,346.5
2012-08-16T12:00:10,911.4,50.2,87.6766,23.1,50.4,826.9,0.0,545.2,826.6,343.4
2012-08-16T12:15:09,934.3,52.9,90.3796,25.9,48.7,826.5,0.0,590.7,849.2,325.5
2012-08-16T12:30:09,919.9,52.0,88.2477,25.7,48.4,826.5,0.0,554.5,841.6,348.3
2012-08-16T12:45:09,975.2,49.4,96.2794,25.8,48.2,825.9,0.0,626.1,903.2,353.6
2012-08-16T13:00:10,892.0,52.9,86.6009,26.3,45.5,826.3,0.0,610.0,815.1,288.9
2012-08-16T13:15:09,889.5,53.4,86.7891,27.2,44.2,826.1,0.0,610.7,821.4,301.5
2012-08-16T13:30:10,862.5,54.4,83.8000,27.2,43.1,825.9,0.0,602.3,807.6,307.6
2012-08-16T13:45:09,829.7,53.0,80.6435,27.4,41.6,826.0,0.0,601.9,770.4,286.3
2012-08-16T14:15:09,369.0,39.6,37.6654,25.9,43.8,825.9,0.0,113.4,339.9,256.6
2012-08-16T15:00:09,258.1,35.6,27.0301,24.3,45.2,825.4,0.0,12.7,262.0,259.2
2012-08-16T15:15:10,185.0,34.3,19.2692,24.6,43.5,826.1,0.0,1.7,180.3,189.3
2012-08-16T15:30:10,489.4,37.1,49.7873,24.8,44.1,825.9,0.0,443.3,509.0,233.4
2012-08-16T15:45:09,531.7,36.7,51.5388,24.9,43.5,825.7,0.0,608.0,519.7,180.6
2012-08-16T16:00:09,473.0,36.8,45.2166,25.0,40.5,825.4,0.0,600.3,471.4,163.1
2012-08-16T16:15:10,409.4,36.6,38.3895,25.8,38.8,825.0,0.0,562.5,418.0,155.5
2012-08-16T16:30:10,336.0,34.6,29.5712,25.8,40.2,825.3,0.0,517.7,369.6,152.9
2012-08-16T16:45:09,191.3,29.3,17.6724,23.8,41.1,825.7,0.0,231.6,227.5,146.0
2012-08-16T17:00:10,116.3,25.0,11.6296,22.8,41.3,825.3,0.0,-0.7,128.2,133.1
2012-08-16T17:15:10,155.3,25.1,12.6061,22.8,41.8,825.0,0.0,247.0,187.3,120.5
2012-08-16T17:30:10,52.4,22.4,5.1756,22.2,42.7,825.3,0.0,-1.7,50.9,57.0
2012-08-16T17:45:09,82.6,22.1,6.5111,22.9,40.9,824.6,0.0,148.9,116.9,90.1
