Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:25,72.0,14.4,2.5183,17.9,52.1,823.4,0.0,266.0,117.7,66.2
2012-08-14T06:30:25,106.7,16.0,3.5326,19.2,50.3,823.5,0.0,308.9,152.9,82.2
2012-08-14T06:45:25,148.7,18.3,4.8220,20.5,45.3,823.4,0.0,359.9,197.6,95.6
2012-08-14T07:00:25,202.4,21.5,6.6587,22.2,38.1,823.0,0.0,434.5,254.8,110.4
2012-08-14T07:15:25,259.2,24.9,8.8129,22.5,40.0,823.3,0.0,490.8,307.0,123.3
2012-08-14T07:30:24,314.6,28.4,10.9771,24.5,32.1,823.3,0.0,530.6,356.1,134.0
2012-08-14T07:45:25,370.2,32.0,13.1890,25.6,33.5,823.3,0.0,562.7,403.9,144.6
2012-08-14T08:00:25,428.6,33.5,15.6619,24.9,38.8,822.7,0.0,590.8,455.4,154.5
2012-08-14T08:15:25,486.3,37.3,17.9375,26.9,28.6,822.9,0.0,617.1,503.1,165.1
2012-08-14T08:30:25,541.7,40.4,20.1302,27.8,28.3,823.1,0.0,641.5,548.3,171.6
2012-08-14T08:45:25,594.4,42.7,22.2247,28.5,30.5,822.9,0.0,660.5,589.8,176.9
2012-08-14T09:00:25,649.3,46.1,24.3529,29.5,26.8,822.7,0.0,683.2,635.0,184.5
2012-08-14T09:15:25,702.1,46.7,26.6040,29.6,26.2,822.5,0.0,700.5,677.0,189.8
2012-08-14T09:30:25,745.6,47.7,28.2280,29.8,25.8,822.8,0.0,709.8,709.0,193.9
2012-08-14T09:45:25,789.5,48.9,29.8861,30.0,24.7,822.3,0.0,724.4,743.4,195.8
2012-08-14T10:00:25,833.6,51.8,31.5761,30.8,21.1,822.6,0.0,741.7,780.4,200.3
