Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:47,72.8,16.7,4.1489,17.9,51.8,823.2,0.0,267.4,118.3,67.0
2012-08-14T06:30:47,107.6,18.0,5.7402,19.3,50.3,823.0,0.0,308.3,153.6,82.2
2012-08-14T06:45:46,149.3,19.9,7.7243,20.4,46.1,823.1,0.0,358.5,197.6,95.9
2012-08-14T07:00:46,203.8,24.1,10.5216,22.2,38.0,823.5,0.0,437.6,256.7,110.4
2012-08-14T07:15:47,260.2,25.4,13.7131,22.5,38.2,823.2,0.0,491.8,308.3,123.3
2012-08-14T07:30:46,316.3,30.3,16.8905,24.5,31.7,823.0,0.0,533.0,358.6,134.0
2012-08-14T07:45:47,370.8,33.2,20.0179,25.6,32.9,823.2,0.0,562.7,404.5,144.6
2012-08-14T08:00:46,429.8,35.0,23.7684,24.8,38.3,823.3,0.0,591.4,456.7,154.9
2012-08-14T08:15:47,486.9,39.6,26.9635,26.9,28.3,822.9,0.0,617.5,503.1,165.1
2012-08-14T08:30:47,541.6,42.1,30.1072,27.8,28.3,822.7,0.0,639.8,548.3,171.6
2012-08-14T08:45:47,596.7,44.9,33.3771,28.6,30.1,822.6,0.0,662.2,591.0,177.3
2012-08-14T09:00:46,652.1,47.0,36.4453,29.6,27.1,822.9,0.0,685.6,636.9,184.5
2012-08-14T09:15:47,702.9,46.8,39.7446,29.7,26.1,823.0,0.0,699.8,678.3,189.8
2012-08-14T09:30:47,747.4,48.5,42.1633,29.5,25.7,822.4,0.0,711.1,710.9,193.9
2012-08-14T09:45:47,790.8,49.2,44.5383,30.0,24.2,822.7,0.0,724.4,744.7,195.8
2012-08-14T10:00:47,835.3,52.1,46.9699,30.9,21.6,822.2,0.0,742.4,781.0,200.3
2012-08-14T10:15:46,872.0,53.8,48.9756,30.8,20.3,822.5,0.0,753.7,809.9,203.4
2012-08-14T10:30:47,904.4,53.2,50.5878,31.2,19.9,821.8,0.0,758.7,833.7,206.4
2012-08-14T10:45:47,949.7,56.2,52.7889,32.2,21.2,822.0,0.0,782.3,871.3,212.4
2012-08-14T11:00:47,958.9,55.4,53.3327,31.7,19.8,822.0,0.0,763.5,871.2,215.5
2012-08-14T11:15:47,1017.3,58.0,56.6223,32.4,19.7,821.8,0.0,793.2,918.9,226.1
2012-08-14T12:00:47,1033.9,59.6,56.8495,33.4,16.0,821.0,0.0,784.7,928.7,232.1
2012-08-14T12:15:47,1019.6,59.7,56.1390,33.9,16.2,820.8,0.0,783.6,914.9,220.7
2012-08-14T12:30:47,1020.1,58.9,56.0701,34.2,13.8,820.9,0.0,787.3,924.9,234.0
2012-08-14T12:45:47,1014.8,62.3,55.0903,34.9,12.8,820.9,0.0,788.6,918.6,233.6
2012-08-14T13:00:47,1003.1,59.9,54.7054,34.9,12.0,820.9,0.0,819.7,907.3,209.3
2012-08-14T13:15:47,984.3,52.0,55.2545,35.9,12.7,820.6,0.0,811.4,888.5,202.5
2012-08-14T13:30:47,956.9,56.0,52.8324,36.6,7.9,820.5,0.0,811.7,868.4,201.7
2012-08-14T13:45:47,950.4,55.9,52.4846,36.9,8.2,820.4,0.0,827.1,862.7,199.0
2012-08-14T14:00:47,900.0,52.7,50.3262,36.3,7.8,820.3,0.0,805.6,820.6,189.5
2012-08-14T14:15:47,859.9,53.6,47.6995,36.8,7.2,820.1,0.0,787.6,784.2,191.0
2012-08-14T14:30:47,828.7,57.1,45.2826,36.4,8.3,819.9,0.0,783.9,767.2,200.5
2012-08-14T15:00:47,279.2,51.0,17.5839,36.6,8.4,819.8,0.0,43.8,249.9,234.0
2012-08-14T15:15:47,707.4,49.0,38.7152,35.3,11.6,819.7,0.0,720.7,681.9,225.2
2012-08-14T15:30:47,166.9,35.3,10.2338,33.2,11.9,819.6,0.0,-1.7,153.8,165.2
2012-08-14T15:45:46,525.2,37.7,27.3985,33.3,12.8,819.7,0.0,602.1,522.4,188.0
2012-08-14T16:00:47,462.5,45.0,23.8636,34.6,13.0,819.8,0.0,567.3,467.8,179.7
2012-08-14T16:30:47,193.7,37.5,11.6297,34.0,14.2,819.4,0.0,114.7,187.8,149.3
2012-08-14T16:45:47,116.9,34.3,7.1730,32.5,15.3,819.6,0.0,15.0,112.4,115.9
2012-08-14T17:00:47,106.3,28.8,6.2662,31.1,17.1,820.0,0.0,25.1,104.9,103.7
2012-08-14T17:15:47,166.8,29.7,8.5177,31.3,17.6,819.9,0.0,226.0,202.9,142.5
2012-08-14T17:30:47,108.0,29.0,6.4061,31.0,18.3,819.5,0.0,23.7,125.0,128.4
2012-08-14T17:45:46,113.1,28.3,5.9077,31.2,17.4,820.1,0.0,257.2,150.1,106.8
