Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:16,71.8,15.0,2.2455,17.8,52.5,823.3,0.0,266.4,117.1,66.2
2012-08-14T06:30:16,106.5,16.4,3.2775,19.2,50.3,823.3,0.0,308.9,152.3,81.5
2012-08-14T06:45:16,148.1,18.7,4.7179,20.4,45.1,822.9,0.0,358.2,196.3,95.2
2012-08-14T07:00:16,201.8,21.8,6.7911,22.1,38.8,823.5,0.0,433.5,254.2,110.0
2012-08-14T07:15:16,258.4,25.2,9.1771,22.5,39.8,823.3,0.0,489.1,305.8,123.3
2012-08-14T07:30:16,313.8,28.6,11.5542,24.4,32.1,822.8,0.0,531.0,356.1,133.2
2012-08-14T07:45:16,369.8,32.4,13.9680,25.6,33.1,823.3,0.0,562.7,403.9,144.6
2012-08-14T08:00:16,428.4,33.9,16.6298,24.9,40.7,823.2,0.0,591.8,455.4,154.5
2012-08-14T08:15:16,485.9,37.8,18.9872,27.0,28.1,822.7,0.0,617.8,502.5,165.1
2012-08-14T08:30:16,541.0,41.1,21.2099,27.8,28.2,822.6,0.0,641.8,548.3,171.6
2012-08-14T08:45:16,593.8,43.4,23.3238,28.5,30.4,822.5,0.0,660.5,589.2,176.9
2012-08-14T09:00:16,649.0,46.8,25.3825,29.5,26.9,822.6,0.0,683.2,635.0,184.1
2012-08-14T09:15:16,701.8,46.7,27.5998,29.6,25.7,823.0,0.0,699.8,677.0,189.8
2012-08-14T09:30:16,745.1,48.0,29.2851,29.9,25.2,822.7,0.0,709.1,708.3,193.9
2012-08-14T09:45:16,790.0,49.4,31.0057,30.2,26.2,822.4,0.0,725.1,743.4,195.8
2012-08-14T10:00:16,832.7,51.1,32.4834,30.8,21.2,822.5,0.0,740.4,778.5,200.3
2012-08-14T10:15:16,870.7,52.3,33.9143,31.0,22.0,822.3,0.0,752.4,808.7,203.4
2012-08-14T10:30:17,903.4,53.3,35.0132,31.3,20.0,821.8,0.0,758.7,833.1,206.4
2012-08-14T10:45:16,951.1,56.5,36.4246,32.4,19.8,822.2,0.0,783.7,872.6,212.4
2012-08-14T11:00:16,959.8,55.2,36.9619,31.7,20.2,821.9,0.0,766.9,873.7,215.5
