Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:42,72.7,15.1,4.8492,17.9,51.8,823.4,0.0,266.7,118.3,66.6
2012-08-14T06:30:42,107.2,16.2,6.9503,19.2,50.3,823.4,0.0,308.6,153.6,82.2
2012-08-14T06:45:42,149.1,18.5,9.7332,20.5,46.0,823.3,0.0,359.2,197.6,95.9
2012-08-14T07:00:42,203.6,21.7,13.6707,22.2,38.1,823.1,0.0,436.9,256.7,110.4
2012-08-14T07:15:42,260.0,24.9,18.0694,22.5,38.3,823.4,0.0,491.8,308.3,123.3
2012-08-14T07:30:42,315.7,28.4,22.4099,24.5,31.7,823.0,0.0,532.6,357.4,134.0
2012-08-14T07:45:42,370.6,32.2,26.7433,25.6,33.2,823.3,0.0,562.7,404.5,144.6
2012-08-14T08:00:42,429.5,33.7,31.4852,24.8,40.2,822.8,0.0,591.4,456.7,154.9
2012-08-14T08:15:42,486.5,37.5,35.5585,26.9,28.3,822.9,0.0,617.5,503.1,165.1
2012-08-14T08:30:42,541.7,40.8,39.3872,27.8,28.4,822.9,0.0,640.8,549.0,171.6
2012-08-14T08:45:42,595.6,42.7,43.1835,28.6,30.8,822.8,0.0,661.2,590.4,177.3
2012-08-14T09:00:42,651.7,46.4,46.7061,29.6,27.0,822.6,0.0,684.5,636.3,184.5
2012-08-14T09:15:42,703.0,46.2,50.4954,29.6,25.9,822.7,0.0,699.8,678.3,189.8
2012-08-14T09:30:42,747.3,48.3,53.2568,29.5,25.1,822.8,0.0,711.1,710.2,193.9
2012-08-14T09:45:42,790.6,49.6,55.9693,30.0,24.4,822.2,0.0,724.4,744.7,195.8
2012-08-14T10:00:42,834.5,51.7,58.4762,30.9,21.5,822.6,0.0,742.4,781.0,200.3
2012-08-14T10:15:42,871.4,52.8,60.7126,30.8,20.9,821.9,0.0,753.7,809.9,203.4
2012-08-14T10:30:42,903.9,54.0,62.5806,31.2,19.7,822.2,0.0,758.3,833.7,206.4
2012-08-14T10:45:42,949.3,56.7,64.7728,32.2,21.1,822.2,0.0,783.0,871.3,212.4
